     9      9     20
d_kernel   u_kernel

3.2278e-16 0.4018
2.4639e-16 0.4221
3.0749e-16 0.4132
8.5500e-16 0.3363
9.8532e-16 0.3085
1.0832e-15 0.4245
5.2124e-16 0.3858
5.1568e-16 0.3376
0.0000e+00 1.0000
2.0401e-16 0.4546
5.4700e-16 0.3459
3.8108e-16 0.4526
1.4267e-15 0.3945
1.1773e-15 0.2894
1.0652e-15 0.2724
7.3824e-16 0.3513
4.7432e-16 0.4491
4.0556e-16 0.3292
5.5173e-16 0.4088
6.6262e-16 0.2765
8.4536e-16 0.2898
1.3701e-14 0.1446
1.4458e-13 0.0525
1.4471e-14 0.1411
1.2887e-15 0.2587
5.5752e-16 0.3500
6.2585e-16 0.2747
0.0000e+00 1.0000
7.6938e-16 0.2780
1.1778e-14 0.1521
7.3047e-12 0.0097
2.1820e-11 0.0059
7.2511e-12 0.0097
1.4861e-14 0.1392
1.2671e-15 0.2788
5.4175e-16 0.3506
7.1464e-16 0.4871
1.9980e-15 0.3078
1.4319e-13 0.0521
2.2010e-11 0.0059
1.2828e-09 0.0002
2.1946e-11 0.0059
1.3624e-13 0.0525
9.2796e-16 0.2218
6.1188e-16 0.2728
5.6424e-16 0.4031
6.2834e-16 0.2695
1.4729e-14 0.1339
7.4302e-12 0.0096
2.2170e-11 0.0058
7.3581e-12 0.0097
1.3211e-14 0.1460
1.3043e-15 0.2991
4.1545e-16 0.4684
6.5980e-16 0.3815
1.1339e-15 0.3668
1.5159e-15 0.2226
1.7548e-14 0.1487
1.3893e-13 0.0528
1.6145e-14 0.1330
1.6131e-15 0.2912
1.2104e-15 0.2360
3.5749e-16 0.4121
5.5355e-16 0.4239
9.1028e-16 0.4017
1.5381e-15 0.4600
1.3711e-15 0.2706
1.0952e-15 0.2637
1.3311e-15 0.2425
8.4446e-16 0.3193
4.8788e-16 0.4604
3.4527e-16 0.4570
4.8551e-16 0.4038
3.7485e-16 0.4510
4.5968e-16 0.3347
6.5400e-16 0.3410
4.9166e-16 0.4036
9.6262e-16 0.3181
5.0282e-16 0.3053
2.2957e-16 0.4105
4.2164e-16 0.4262
2.2420e-16 0.4545
1.0559e-15 0.4421
8.5044e-16 0.3783
8.9072e-16 0.2674
1.2367e-15 0.2821
8.5488e-16 0.3148
4.9460e-16 0.3805
0.0000e+00 1.0000
6.7368e-16 0.3655
4.8812e-16 0.4263
6.2035e-16 0.2963
2.1166e-15 0.3869
1.7650e-15 0.2815
2.1122e-15 0.2346
1.3366e-15 0.2504
9.4940e-16 0.3351
1.2464e-15 0.3187
7.6099e-16 0.4822
7.7528e-16 0.4569
1.2370e-15 0.3455
1.8333e-15 0.2899
2.0426e-14 0.1201
2.2515e-13 0.0394
1.5842e-14 0.1344
1.9658e-15 0.3129
1.3117e-15 0.2770
6.9835e-16 0.2520
4.9784e-16 0.3623
1.0727e-15 0.2831
1.9074e-14 0.1222
2.3134e-11 0.0055
9.7173e-11 0.0028
2.3020e-11 0.0055
1.8980e-14 0.1169
1.3218e-15 0.2836
9.7736e-16 0.3766
1.0874e-15 0.3500
2.1597e-15 0.2549
2.2779e-13 0.0403
9.7179e-11 0.0028
1.4474e-09 0.0003
9.7024e-11 0.0028
2.2454e-13 0.0397
1.4375e-15 0.2675
5.9666e-16 0.3061
8.3382e-16 0.2877
1.8613e-15 0.3442
1.6510e-14 0.1294
2.3186e-11 0.0055
9.7548e-11 0.0028
2.2904e-11 0.0055
2.1200e-14 0.1084
2.7110e-15 0.3805
7.8063e-16 0.3420
3.6074e-16 0.3368
6.9517e-16 0.3692
2.0802e-15 0.2543
1.9858e-14 0.1150
2.1986e-13 0.0404
1.7575e-14 0.1286
2.2406e-15 0.3095
1.7647e-15 0.2502
0.0000e+00 1.0000
3.9600e-16 0.4723
4.8599e-16 0.4114
9.9051e-16 0.2423
1.9052e-15 0.2343
1.6731e-15 0.3334
1.9357e-15 0.3031
8.6222e-16 0.3329
8.0105e-16 0.4169
7.5793e-16 0.4553
3.5822e-16 0.4797
0.0000e+00 1.0000
5.4848e-16 0.3476
1.8032e-15 0.3813
6.8070e-16 0.3795
1.6637e-15 0.3238
4.0557e-16 0.3870
3.5621e-16 0.3576
0.0000e+00 1.0000
2.3108e-16 0.4593
0.0000e+00 1.0000
1.1004e-15 0.4237
1.2236e-15 0.3068
1.0784e-15 0.2780
1.0177e-15 0.4068
4.2180e-16 0.3802
0.0000e+00 1.0000
3.9699e-16 0.3851
5.1155e-16 0.4460
4.8642e-16 0.2866
6.8212e-16 0.2964
1.7153e-15 0.2055
2.6147e-15 0.1858
1.9371e-15 0.3296
1.7191e-15 0.2931
1.0414e-15 0.2907
4.8902e-16 0.3131
3.6149e-16 0.3553
7.5570e-16 0.2671
1.2598e-15 0.2439
7.1451e-15 0.1589
6.6152e-14 0.0643
6.2062e-15 0.1628
2.6115e-15 0.2119
1.7284e-15 0.2409
8.1956e-16 0.2979
8.3826e-16 0.4149
9.7673e-16 0.3346
5.7775e-15 0.1799
2.9977e-11 0.0045
1.5999e-10 0.0021
2.9660e-11 0.0045
6.8322e-15 0.1466
