     9      9     20
d_kernel   u_kernel

0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
3.0848e-16 0.3972
1.7807e-16 0.4580
0.0000e+00 1.0000
0.0000e+00 1.0000
7.1354e-16 0.3995
3.3407e-16 0.4926
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
4.2249e-16 0.4949
0.0000e+00 1.0000
8.8317e-16 0.4059
6.3592e-16 0.4504
4.3268e-16 0.3428
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
3.0821e-16 0.4320
6.5930e-16 0.3568
8.9358e-16 0.3388
1.2180e-15 0.3194
1.1681e-15 0.2841
1.5336e-15 0.3463
0.0000e+00 1.0000
0.0000e+00 1.0000
3.8275e-16 0.4998
7.0478e-16 0.3777
3.7970e-16 0.4353
1.4617e-15 0.2660
2.8486e-15 0.2124
3.7829e-15 0.1787
3.5270e-15 0.2922
2.7384e-16 0.4974
3.0428e-16 0.4635
6.8939e-16 0.3627
7.2975e-16 0.3217
1.0194e-15 0.2461
2.4320e-15 0.1883
1.0566e-11 0.0068
1.0718e-10 0.0024
1.0517e-11 0.0068
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
8.4986e-16 0.2711
3.9041e-15 0.1713
1.0713e-10 0.0024
1.5604e-09 0.0003
1.0734e-10 0.0024
0.0000e+00 1.0000
0.0000e+00 1.0000
3.4043e-16 0.4189
5.7463e-16 0.3512
1.3885e-15 0.2651
3.0080e-15 0.1982
1.0432e-11 0.0068
1.0742e-10 0.0024
1.0513e-11 0.0068
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
1.0832e-15 0.3921
2.1006e-15 0.2401
3.4108e-15 0.1945
3.8539e-15 0.1804
4.6258e-15 0.1929
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
1.1140e-16 0.4854
4.0087e-16 0.4887
6.1862e-16 0.4242
1.4643e-16 0.4579
