     9      9     20
d_kernel   u_kernel

0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
4.7963e-16 0.3894
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
3.1640e-16 0.4295
2.6338e-16 0.4993
1.8348e-15 0.4758
4.2125e-16 0.3524
6.5352e-16 0.3351
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
5.3478e-16 0.4636
6.0014e-16 0.3133
2.2208e-15 0.3520
1.6033e-15 0.2730
1.7681e-15 0.2962
0.0000e+00 1.0000
0.0000e+00 1.0000
4.3846e-16 0.4223
0.0000e+00 1.0000
3.6827e-16 0.4750
1.7049e-15 0.2707
1.4116e-14 0.1008
9.4712e-12 0.0057
1.5998e-14 0.1005
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
4.8039e-16 0.4467
6.7770e-16 0.2846
2.3119e-15 0.2207
9.3601e-12 0.0057
1.2501e-09 0.0004
9.5105e-12 0.0057
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
4.5745e-16 0.3846
1.0185e-15 0.2618
1.5404e-14 0.1022
9.4626e-12 0.0057
1.4139e-14 0.1055
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
5.6162e-16 0.3738
1.2587e-15 0.2859
3.0010e-15 0.2654
2.8217e-15 0.2231
2.3772e-15 0.2158
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
1.3864e-16 0.4990
0.0000e+00 1.0000
