     9      9     20
d_kernel   u_kernel

1.4076e-16 0.4660
2.8153e-16 0.4211
4.8383e-16 0.3886
6.7131e-16 0.3461
5.7953e-16 0.3373
6.6650e-16 0.3071
1.7762e-15 0.4545
1.4484e-15 0.3268
5.9145e-16 0.3105
1.9877e-16 0.4563
2.4764e-16 0.3551
8.9614e-16 0.3211
6.2592e-16 0.3728
7.1927e-16 0.3387
6.1958e-16 0.2652
5.5454e-15 0.2991
6.3632e-15 0.3163
5.9047e-15 0.2859
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
6.3979e-16 0.3411
6.7815e-15 0.2504
3.8155e-14 0.1276
1.1179e-13 0.0794
1.4171e-13 0.0732
1.0973e-13 0.0825
6.6976e-16 0.4509
6.1299e-16 0.4464
9.4971e-16 0.4713
7.5084e-15 0.2571
8.3374e-14 0.0959
3.2344e-13 0.0501
5.6323e-13 0.0378
6.1936e-13 0.0356
5.9995e-13 0.0373
1.0512e-15 0.2566
3.5680e-16 0.3057
1.8511e-15 0.4185
4.3643e-14 0.1336
3.2118e-13 0.0496
7.4185e-13 0.0325
1.1229e-12 0.0267
1.1945e-12 0.0256
1.0601e-12 0.0273
1.4994e-15 0.4083
1.0140e-15 0.3147
4.4172e-15 0.3613
1.0718e-13 0.0842
5.6763e-13 0.0382
1.0472e-12 0.0276
2.1424e-12 0.0194
5.5846e-12 0.0112
2.0834e-12 0.0197
9.9696e-16 0.4726
8.8431e-16 0.3098
5.9558e-15 0.2774
1.5160e-13 0.0716
6.8752e-13 0.0340
1.2270e-12 0.0254
5.5789e-12 0.0111
1.2289e-09 0.0002
5.6400e-12 0.0111
1.2516e-15 0.2803
6.0818e-16 0.2830
6.8791e-15 0.2571
1.1363e-13 0.0815
5.8058e-13 0.0369
1.0710e-12 0.0274
2.0831e-12 0.0195
5.5886e-12 0.0111
2.1915e-12 0.0191
3.6926e-16 0.3325
3.3723e-16 0.3103
4.2112e-15 0.3505
3.6169e-14 0.1419
3.0822e-13 0.0512
7.3971e-13 0.0323
1.0513e-12 0.0278
1.2216e-12 0.0252
1.0994e-12 0.0267
2.4315e-16 0.4235
4.9430e-16 0.3410
8.5318e-16 0.3512
8.2564e-16 0.3121
1.4472e-15 0.4065
6.4365e-16 0.3294
9.1887e-16 0.2654
7.9569e-16 0.3121
0.0000e+00 1.0000
1.9378e-16 0.4492
3.0424e-16 0.3720
6.7302e-16 0.2917
8.7450e-16 0.2537
1.4241e-15 0.3645
9.9197e-16 0.2291
4.4332e-15 0.3700
7.3995e-15 0.2629
3.9205e-15 0.2783
2.6338e-16 0.3578
5.9276e-16 0.4721
1.6360e-15 0.3750
1.5258e-15 0.2898
1.0585e-14 0.2296
6.7227e-14 0.1048
1.7694e-13 0.0668
2.4253e-13 0.0556
1.8781e-13 0.0621
6.3582e-16 0.3092
5.2813e-16 0.3531
9.0761e-16 0.4098
3.6568e-15 0.2659
1.2760e-13 0.0777
5.2583e-13 0.0388
1.0214e-12 0.0283
1.2767e-12 0.0253
1.0823e-12 0.0274
1.0463e-15 0.4634
6.6923e-16 0.2782
2.0906e-15 0.3589
6.2857e-14 0.1054
5.5973e-13 0.0386
1.5628e-12 0.0230
2.2714e-12 0.0188
2.7353e-12 0.0172
2.2727e-12 0.0190
1.4050e-15 0.3470
1.5820e-15 0.3691
6.9056e-15 0.3429
1.7237e-13 0.0661
1.0183e-12 0.0284
2.2826e-12 0.0191
5.7582e-12 0.0117
2.0025e-11 0.0056
5.7159e-12 0.0117
5.7619e-16 0.2940
1.4871e-15 0.4163
5.4257e-15 0.3092
2.5448e-13 0.0561
1.2457e-12 0.0256
2.6630e-12 0.0172
2.0265e-11 0.0056
1.2353e-09 0.0003
2.0208e-11 0.0056
5.2461e-16 0.3034
1.3012e-15 0.2846
7.9732e-15 0.2394
1.5923e-13 0.0685
1.0273e-12 0.0281
2.3289e-12 0.0189
5.7392e-12 0.0118
2.0431e-11 0.0056
5.8403e-12 0.0115
7.5167e-16 0.3471
4.5886e-16 0.3320
2.8126e-15 0.4197
5.7606e-14 0.1113
5.0097e-13 0.0402
1.5407e-12 0.0233
2.1487e-12 0.0194
2.7034e-12 0.0172
2.3089e-12 0.0188
0.0000e+00 1.0000
9.4131e-16 0.3325
1.0622e-15 0.4005
1.3719e-15 0.2558
0.0000e+00 1.0000
9.5021e-16 0.3832
5.2352e-16 0.3125
6.7512e-16 0.3134
7.9475e-16 0.2956
0.0000e+00 1.0000
0.0000e+00 1.0000
7.9207e-16 0.2639
1.1991e-15 0.2481
1.5938e-15 0.3901
1.9297e-15 0.3247
2.9869e-15 0.2988
7.5648e-15 0.2602
3.1928e-15 0.2971
5.1101e-16 0.3688
7.8157e-16 0.4681
0.0000e+00 1.0000
9.5743e-16 0.3508
1.2690e-14 0.2147
7.7501e-14 0.0936
2.3381e-13 0.0554
3.5241e-13 0.0464
2.3492e-13 0.0559
6.3554e-16 0.4781
1.0066e-15 0.2855
1.2348e-15 0.3683
8.6715e-15 0.2437
1.5732e-13 0.0674
9.2992e-13 0.0295
1.8725e-12 0.0211
2.3392e-12 0.0188
1.8309e-12 0.0213
0.0000e+00 1.0000
2.5923e-15 0.4732
1.8168e-15 0.3353
8.1743e-14 0.0948
8.6601e-13 0.0307
2.8289e-12 0.0172
4.7830e-12 0.0132
6.0016e-12 0.0117
4.8258e-12 0.0131
7.2785e-16 0.2699
7.8900e-16 0.3554
3.3133e-15 0.3221
2.5649e-13 0.0541
1.8384e-12 0.0214
4.7478e-12 0.0132
1.6719e-11 0.0068
6.4319e-11 0.0030
1.6527e-11 0.0068
1.1093e-15 0.3290
1.3762e-15 0.3749
4.1306e-15 0.2966
3.4853e-13 0.0467
2.2489e-12 0.0192
5.9436e-12 0.0117
6.4826e-11 0.0030
1.0912e-09 0.0003
6.4605e-11 0.0030
0.0000e+00 1.0000
1.5081e-15 0.2650
6.5420e-15 0.2875
2.4622e-13 0.0556
1.7973e-12 0.0214
4.7322e-12 0.0132
1.6313e-11 0.0068
6.4669e-11 0.0030
1.6578e-11 0.0068
0.0000e+00 1.0000
1.6952e-15 0.3250
2.2366e-15 0.3554
6.8204e-14 0.1019
8.2842e-13 0.0312
2.8168e-12 0.0173
4.8189e-12 0.0132
5.9735e-12 0.0117
4.8797e-12 0.0131
1.2120e-15 0.3098
1.4100e-15 0.4530
1.0022e-15 0.2943
1.7673e-15 0.3419
1.6368e-15 0.3060
9.8224e-16 0.2867
1.2103e-15 0.4204
1.5627e-15 0.3222
1.1400e-15 0.2562
0.0000e+00 1.0000
1.1175e-15 0.2935
1.4862e-15 0.3993
1.2307e-15 0.2824
1.7685e-15 0.3759
2.3676e-15 0.4282
6.0680e-15 0.2825
4.0826e-15 0.3142
3.7675e-15 0.3648
9.0627e-16 0.3332
2.2169e-15 0.3504
9.4341e-16 0.4213
2.0826e-15 0.3186
8.3493e-15 0.2381
9.7205e-14 0.0817
3.0650e-13 0.0483
4.7968e-13 0.0399
3.0564e-13 0.0490
6.5539e-16 0.3252
1.2055e-15 0.3564
1.3452e-15 0.4416
1.2155e-14 0.2180
2.1213e-13 0.0578
1.3511e-12 0.0248
2.9690e-12 0.0167
3.8666e-12 0.0148
3.0310e-12 0.0167
1.2470e-15 0.3923
0.0000e+00 1.0000
2.5506e-15 0.3279
9.6818e-14 0.0830
1.2771e-12 0.0252
4.7539e-12 0.0134
9.5503e-12 0.0094
1.2634e-11 0.0081
9.5254e-12 0.0094
8.0444e-16 0.3224
2.1978e-15 0.3754
5.6271e-15 0.2870
3.0764e-13 0.0472
2.9531e-12 0.0168
9.6052e-12 0.0094
3.8359e-11 0.0044
1.2175e-10 0.0022
3.8351e-11 0.0044
2.0255e-15 0.4615
1.2151e-15 0.2806
6.6788e-15 0.2439
4.9002e-13 0.0392
3.8285e-12 0.0148
1.2557e-11 0.0081
1.2240e-10 0.0022
8.1504e-10 0.0005
1.2253e-10 0.0022
1.4573e-15 0.4841
8.9091e-16 0.2120
5.7894e-15 0.3970
3.1727e-13 0.0475
2.9718e-12 0.0167
9.3610e-12 0.0095
3.8250e-11 0.0044
1.2225e-10 0.0022
3.8369e-11 0.0044
9.2850e-16 0.4457
0.0000e+00 1.0000
2.3666e-15 0.3318
7.7026e-14 0.0863
1.2676e-12 0.0255
4.8255e-12 0.0133
9.6105e-12 0.0094
1.2708e-11 0.0081
9.4675e-12 0.0094
4.8414e-16 0.4736
5.1323e-16 0.3525
8.4880e-16 0.4116
1.3867e-15 0.2868
8.6290e-16 0.3365
1.6433e-15 0.3293
1.2312e-15 0.2665
1.4940e-15 0.2233
1.3329e-15 0.2392
7.2004e-16 0.4549
1.3977e-15 0.3217
1.2751e-15 0.4504
2.0402e-15 0.3635
2.3139e-15 0.3267
3.0376e-15 0.4702
4.0149e-15 0.2896
6.2571e-15 0.2620
4.1361e-15 0.2124
1.4734e-15 0.4050
1.6654e-15 0.3977
0.0000e+00 1.0000
1.9876e-15 0.3347
8.6331e-15 0.2194
7.4532e-14 0.0915
3.4615e-13 0.0443
5.0455e-13 0.0375
3.5348e-13 0.0446
6.8694e-16 0.4496
7.6616e-16 0.3224
1.5032e-15 0.3554
