     9      9     21
d_kernel   u_kernel

1.3694e-15 0.3856
1.2970e-15 0.2563
1.9467e-15 0.3367
1.4441e-14 0.2004
2.4818e-14 0.1473
1.6425e-14 0.1859
3.8309e-15 0.3115
7.0893e-16 0.4225
0.0000e+00 1.0000
4.1030e-16 0.3031
9.1532e-15 0.2623
9.1714e-14 0.0912
2.6198e-13 0.0553
3.4626e-13 0.0471
2.5873e-13 0.0540
7.7255e-14 0.0919
7.6765e-15 0.2689
7.7790e-16 0.4672
4.4766e-15 0.3349
7.3897e-14 0.0982
4.6599e-13 0.0412
7.7419e-13 0.0315
8.8240e-13 0.0292
7.9936e-13 0.0310
4.4789e-13 0.0426
1.0429e-13 0.0848
3.7551e-15 0.3061
1.6323e-14 0.2244
2.6003e-13 0.0542
7.7752e-13 0.0313
1.1849e-12 0.0257
1.9178e-12 0.0192
1.2172e-12 0.0256
7.7123e-13 0.0311
2.6006e-13 0.0543
1.4768e-14 0.2021
2.2698e-14 0.1665
3.4617e-13 0.0473
9.1461e-13 0.0288
1.9139e-12 0.0191
1.1589e-09 0.0002
1.9149e-12 0.0192
9.0025e-13 0.0291
3.2191e-13 0.0491
2.2599e-14 0.1664
1.5516e-14 0.1978
2.5455e-13 0.0544
8.0630e-13 0.0310
1.2214e-12 0.0248
1.9203e-12 0.0191
1.1521e-12 0.0261
7.8559e-13 0.0312
2.4560e-13 0.0554
1.4403e-14 0.2107
2.3355e-15 0.3617
9.6547e-14 0.0923
4.5506e-13 0.0408
8.2101e-13 0.0306
9.1569e-13 0.0289
7.9504e-13 0.0307
4.4961e-13 0.0416
8.4220e-14 0.0919
2.9940e-15 0.2874
1.1320e-15 0.2517
7.9060e-15 0.2379
9.9272e-14 0.0875
2.7018e-13 0.0541
3.8196e-13 0.0453
2.6996e-13 0.0526
9.7669e-14 0.0833
1.1419e-14 0.2166
1.2770e-15 0.4041
6.4025e-16 0.2869
1.1704e-15 0.3987
5.5294e-15 0.2926
1.3036e-14 0.1960
2.1537e-14 0.1719
1.3833e-14 0.2029
6.0898e-15 0.2964
9.4320e-16 0.4670
8.0594e-16 0.2829
9.5500e-16 0.2913
2.5738e-15 0.3569
3.6878e-15 0.2816
2.1657e-14 0.1578
4.7249e-14 0.1199
3.2913e-14 0.1319
5.1903e-15 0.2719
2.2090e-15 0.4280
0.0000e+00 1.0000
8.5768e-16 0.3683
1.9991e-14 0.1992
1.7902e-13 0.0629
5.6020e-13 0.0379
7.5721e-13 0.0322
5.5008e-13 0.0379
1.8452e-13 0.0630
1.7823e-14 0.1952
1.2372e-15 0.2997
5.5213e-15 0.2756
1.8663e-13 0.0638
1.0325e-12 0.0282
1.8320e-12 0.0209
2.1433e-12 0.0193
1.8253e-12 0.0209
9.6187e-13 0.0289
1.7927e-13 0.0645
6.1196e-15 0.2766
2.1469e-14 0.1656
5.5590e-13 0.0373
1.8204e-12 0.0208
3.4104e-12 0.0152
7.8109e-12 0.0095
3.4463e-12 0.0153
1.8207e-12 0.0209
5.4724e-13 0.0380
3.0762e-14 0.1442
4.5139e-14 0.1188
7.0633e-13 0.0335
2.1515e-12 0.0191
7.8241e-12 0.0095
1.2446e-09 0.0002
7.7963e-12 0.0095
2.1281e-12 0.0192
7.0487e-13 0.0334
3.8637e-14 0.1248
2.5183e-14 0.1551
5.3572e-13 0.0383
1.7749e-12 0.0214
3.4105e-12 0.0153
7.8498e-12 0.0095
3.3852e-12 0.0154
1.9106e-12 0.0207
5.4736e-13 0.0378
2.7091e-14 0.1448
3.7846e-15 0.3790
1.8052e-13 0.0636
9.8972e-13 0.0284
1.8819e-12 0.0204
2.1852e-12 0.0190
1.8871e-12 0.0205
9.8012e-13 0.0285
1.7124e-13 0.0652
4.5377e-15 0.3176
1.4852e-15 0.3745
1.4199e-14 0.1817
1.8416e-13 0.0619
5.3676e-13 0.0375
7.9822e-13 0.0316
5.6966e-13 0.0371
1.7972e-13 0.0638
1.7479e-14 0.1853
1.4667e-15 0.4184
1.4248e-15 0.3020
1.7700e-15 0.4139
6.9102e-15 0.2355
2.4147e-14 0.1554
4.7085e-14 0.1183
1.8965e-14 0.1829
6.1779e-15 0.2923
1.4309e-15 0.3814
9.8672e-16 0.2711
8.0557e-16 0.3556
2.3348e-15 0.2360
7.3288e-15 0.2530
3.5563e-14 0.1334
5.2234e-14 0.1072
3.4630e-14 0.1292
4.0780e-15 0.2676
0.0000e+00 1.0000
8.4916e-16 0.4034
1.3079e-15 0.2711
2.3943e-14 0.1534
3.0959e-13 0.0470
9.7950e-13 0.0281
1.4650e-12 0.0235
1.0099e-12 0.0280
3.3350e-13 0.0467
1.9110e-14 0.1623
1.1066e-15 0.2577
4.2480e-15 0.3129
2.8973e-13 0.0501
1.9771e-12 0.0203
4.0360e-12 0.0142
4.9857e-12 0.0127
4.1275e-12 0.0142
1.9462e-12 0.0205
2.9122e-13 0.0503
6.0092e-15 0.2646
3.6005e-14 0.1325
9.8097e-13 0.0283
4.0696e-12 0.0143
1.0206e-11 0.0089
3.2588e-11 0.0044
1.0238e-11 0.0088
4.0531e-12 0.0143
9.8225e-13 0.0282
3.8434e-14 0.1237
6.2269e-14 0.1001
1.4128e-12 0.0239
5.0915e-12 0.0127
3.2333e-11 0.0045
1.2312e-09 0.0003
3.2230e-11 0.0045
4.8787e-12 0.0130
1.3879e-12 0.0239
6.4027e-14 0.1002
3.8315e-14 0.1217
1.0273e-12 0.0277
3.9746e-12 0.0144
1.0276e-11 0.0089
3.2448e-11 0.0045
1.0185e-11 0.0089
3.9645e-12 0.0144
9.7855e-13 0.0280
3.4617e-14 0.1307
3.5483e-15 0.2685
2.8838e-13 0.0494
1.9447e-12 0.0207
4.1050e-12 0.0141
5.0214e-12 0.0127
4.1230e-12 0.0143
1.9828e-12 0.0204
3.0632e-13 0.0494
3.7475e-15 0.2771
2.6783e-15 0.3563
1.9460e-14 0.1628
3.1594e-13 0.0488
9.9483e-13 0.0282
1.4638e-12 0.0235
1.0428e-12 0.0278
3.1812e-13 0.0489
1.9726e-14 0.1614
7.9699e-16 0.3201
1.0437e-15 0.2718
1.7487e-15 0.2350
6.5658e-15 0.2587
4.1453e-14 0.1176
5.9695e-14 0.0986
4.2718e-14 0.1214
4.2693e-15 0.2631
1.7390e-15 0.3691
7.5815e-16 0.2892
1.7502e-15 0.4944
2.0391e-15 0.3588
3.2793e-15 0.2327
3.7430e-14 0.1203
8.5638e-14 0.0824
4.8505e-14 0.1091
5.2735e-15 0.2507
2.5034e-15 0.2968
0.0000e+00 1.0000
1.1147e-15 0.2582
2.4420e-14 0.1440
4.2649e-13 0.0410
1.6408e-12 0.0219
2.3962e-12 0.0182
1.6227e-12 0.0219
