     9      9     20
d_kernel   u_kernel

1.3526e-15 0.4807
4.9684e-16 0.2832
1.3322e-15 0.2936
1.7448e-15 0.2900
1.2413e-15 0.2594
1.4235e-15 0.2201
1.6357e-15 0.2916
4.7298e-16 0.3606
8.9057e-16 0.4472
6.6406e-16 0.2709
8.7105e-16 0.2615
1.9914e-15 0.2968
1.8212e-14 0.1569
4.6141e-14 0.1085
2.1580e-14 0.1550
1.3352e-15 0.4436
5.8239e-16 0.3412
6.4357e-16 0.2895
5.3482e-16 0.4025
1.8439e-15 0.3423
1.5321e-13 0.0648
1.1598e-12 0.0251
1.8364e-12 0.0204
1.1405e-12 0.0256
1.4032e-13 0.0657
1.8085e-15 0.2797
1.0459e-15 0.2445
9.1294e-16 0.2752
1.7863e-14 0.1682
1.1272e-12 0.0256
3.5978e-12 0.0147
4.9473e-12 0.0121
3.6520e-12 0.0145
1.1605e-12 0.0256
2.2430e-14 0.1404
9.1090e-16 0.3230
8.2633e-16 0.2782
4.9359e-14 0.1000
1.8182e-12 0.0206
4.8224e-12 0.0122
1.1811e-09 0.0002
4.8141e-12 0.0123
1.8583e-12 0.0201
5.7138e-14 0.0988
1.2317e-15 0.3641
1.4281e-15 0.2737
2.1205e-14 0.1437
1.2007e-12 0.0250
3.6641e-12 0.0145
4.9011e-12 0.0122
3.7283e-12 0.0143
1.1485e-12 0.0255
1.6134e-14 0.1556
1.3132e-15 0.2073
7.4391e-16 0.3183
2.4755e-15 0.3696
1.5574e-13 0.0635
1.1059e-12 0.0258
1.9221e-12 0.0200
1.1397e-12 0.0256
1.4718e-13 0.0643
1.6122e-15 0.2432
8.3484e-16 0.2803
7.4405e-16 0.2970
9.3200e-16 0.3111
2.5793e-15 0.3623
1.8032e-14 0.1598
5.7511e-14 0.0963
2.2821e-14 0.1358
1.4913e-15 0.2328
5.1433e-16 0.3332
6.0323e-16 0.2912
0.0000e+00 1.0000
1.3504e-15 0.3695
1.0118e-15 0.2811
1.0363e-15 0.3042
1.3535e-15 0.2666
1.5866e-15 0.2383
9.0467e-16 0.2513
1.0992e-15 0.4237
5.5869e-16 0.3257
0.0000e+00 1.0000
8.5005e-16 0.2968
1.1016e-15 0.3259
1.5444e-15 0.2726
1.4423e-15 0.2509
1.5078e-15 0.3040
9.3057e-16 0.2555
4.0474e-16 0.3071
9.3673e-16 0.3370
8.5796e-16 0.2439
0.0000e+00 1.0000
3.3479e-15 0.3543
3.6854e-14 0.1142
1.1419e-13 0.0685
4.2046e-14 0.1082
1.6949e-15 0.3004
9.8930e-16 0.2951
2.0777e-15 0.4692
1.1184e-15 0.2726
2.5504e-15 0.3194
3.1933e-13 0.0443
2.9192e-12 0.0163
5.0267e-12 0.0126
2.8838e-12 0.0164
3.3369e-13 0.0435
1.6662e-15 0.2832
8.9691e-16 0.2746
9.4004e-16 0.2704
4.5196e-14 0.1047
2.9309e-12 0.0162
1.1782e-11 0.0084
2.2821e-11 0.0057
1.1794e-11 0.0084
2.8541e-12 0.0164
4.0782e-14 0.1108
7.6180e-16 0.3140
2.1901e-15 0.4401
1.2788e-13 0.0665
4.9621e-12 0.0126
2.3073e-11 0.0057
1.2999e-09 0.0002
2.2786e-11 0.0057
5.0280e-12 0.0126
1.0107e-13 0.0689
1.6136e-15 0.2292
1.2472e-15 0.2754
4.5790e-14 0.1041
2.9395e-12 0.0162
1.1825e-11 0.0084
2.3053e-11 0.0057
1.2080e-11 0.0083
2.9424e-12 0.0162
4.0474e-14 0.1092
1.2112e-15 0.2168
1.3593e-15 0.2852
2.1775e-15 0.2715
3.2153e-13 0.0450
2.9423e-12 0.0163
4.9486e-12 0.0126
2.9121e-12 0.0162
3.1578e-13 0.0437
3.7188e-15 0.2486
1.3003e-15 0.4000
9.5374e-16 0.4855
7.7630e-16 0.2619
2.3699e-15 0.2786
3.8698e-14 0.1136
1.0860e-13 0.0693
4.0521e-14 0.1050
3.2515e-15 0.3510
1.3104e-15 0.3234
1.2461e-15 0.3169
4.7831e-16 0.3448
6.3964e-16 0.3998
1.0184e-15 0.3149
1.5397e-15 0.3439
2.6007e-15 0.2520
2.3080e-15 0.2333
1.7250e-15 0.2377
1.8315e-15 0.4232
7.5194e-16 0.3261
0.0000e+00 1.0000
7.8039e-16 0.3612
1.7433e-15 0.2437
3.3148e-15 0.2636
1.4690e-15 0.3192
2.2282e-15 0.3573
6.8141e-16 0.2885
5.9948e-16 0.3011
4.2976e-16 0.3015
6.6606e-16 0.3231
1.2161e-15 0.2295
1.6115e-15 0.2621
4.8950e-14 0.1003
1.3359e-13 0.0606
4.6970e-14 0.0982
1.9776e-15 0.3212
1.7918e-15 0.3939
1.1041e-15 0.3230
1.9921e-15 0.3299
3.7084e-15 0.2745
4.8701e-13 0.0348
5.6086e-12 0.0117
1.0622e-11 0.0087
5.6235e-12 0.0117
5.0132e-13 0.0347
2.6457e-15 0.2443
1.1596e-15 0.2334
1.3857e-15 0.2438
5.2878e-14 0.0936
5.7056e-12 0.0116
3.4232e-11 0.0050
8.9070e-11 0.0028
3.4367e-11 0.0050
5.5835e-12 0.0117
4.4912e-14 0.0973
1.6772e-15 0.2926
8.2447e-16 0.2774
1.4022e-13 0.0600
1.0892e-11 0.0086
8.8687e-11 0.0028
1.1771e-09 0.0003
8.8731e-11 0.0028
1.0564e-11 0.0087
1.3764e-13 0.0592
1.5105e-15 0.2299
1.1480e-15 0.3812
5.2348e-14 0.0948
5.5988e-12 0.0117
3.4385e-11 0.0050
8.8785e-11 0.0028
3.4255e-11 0.0050
5.6912e-12 0.0117
4.8868e-14 0.0968
2.3302e-15 0.2460
2.5865e-15 0.4931
5.0407e-15 0.3271
4.6849e-13 0.0351
5.7245e-12 0.0116
1.0636e-11 0.0087
5.7016e-12 0.0116
5.1235e-13 0.0342
3.0695e-15 0.2261
2.8444e-15 0.4846
1.3247e-15 0.2864
1.5883e-15 0.2789
3.2562e-15 0.2831
4.4477e-14 0.0981
1.4198e-13 0.0582
4.2134e-14 0.0995
4.5653e-15 0.2504
2.1750e-15 0.2207
1.4095e-15 0.2913
1.0905e-15 0.2993
6.5685e-16 0.2694
1.1369e-15 0.3249
2.3110e-15 0.3934
1.2430e-15 0.3061
1.7358e-15 0.2597
2.1214e-15 0.3149
1.3081e-15 0.2756
1.2696e-15 0.2594
7.3834e-16 0.2984
1.0720e-15 0.2725
1.3038e-15 0.4149
1.5510e-15 0.2248
2.1335e-15 0.2200
1.8724e-15 0.3039
0.0000e+00 1.0000
1.4722e-15 0.3758
6.6179e-16 0.2769
0.0000e+00 1.0000
1.2279e-15 0.2375
2.8435e-15 0.2045
3.2726e-14 0.1036
1.0204e-13 0.0643
3.0550e-14 0.1145
1.8400e-15 0.2989
1.4811e-15 0.2815
5.9910e-16 0.2543
2.7814e-15 0.4363
3.0851e-15 0.4159
4.4786e-13 0.0343
8.0811e-12 0.0096
1.6583e-11 0.0068
7.9048e-12 0.0096
4.7622e-13 0.0340
3.3723e-15 0.2399
1.8015e-15 0.2576
2.0727e-15 0.2118
3.0858e-14 0.1120
7.8996e-12 0.0096
6.7704e-11 0.0035
1.6544e-10 0.0021
6.7045e-11 0.0036
7.8878e-12 0.0096
2.6608e-14 0.1166
1.7709e-15 0.2681
2.5500e-15 0.3357
1.0885e-13 0.0656
1.6768e-11 0.0068
1.6519e-10 0.0021
8.0963e-10 0.0006
1.6575e-10 0.0021
1.6592e-11 0.0068
1.1058e-13 0.0633
2.6431e-15 0.3196
2.7547e-15 0.3368
2.4271e-14 0.1160
7.9468e-12 0.0096
6.7070e-11 0.0036
1.6534e-10 0.0021
6.7388e-11 0.0036
8.1002e-12 0.0095
2.9376e-14 0.1063
4.3514e-15 0.3504
1.8298e-15 0.2791
3.4385e-15 0.1832
4.8706e-13 0.0337
8.0498e-12 0.0095
1.6671e-11 0.0068
7.9058e-12 0.0096
4.9036e-13 0.0331
3.8073e-15 0.2688
1.9430e-15 0.2321
0.0000e+00 1.0000
2.1249e-15 0.3827
2.8629e-15 0.2028
3.3502e-14 0.1142
1.1019e-13 0.0636
2.7512e-14 0.1200
2.7407e-15 0.2170
1.1959e-15 0.2758
1.6279e-15 0.2348
1.4446e-15 0.3249
1.5556e-15 0.3182
2.4914e-15 0.2975
2.2087e-15 0.3504
2.7022e-15 0.2857
2.9850e-15 0.2793
1.2864e-15 0.2655
8.1757e-16 0.2816
9.8886e-16 0.3317
7.1799e-16 0.2629
1.0562e-15 0.3546
8.2199e-16 0.2243
2.2819e-15 0.2702
2.6200e-15 0.3463
2.8257e-15 0.2728
1.0702e-15 0.3488
1.3930e-15 0.3758
1.7382e-15 0.3693
0.0000e+00 1.0000
1.8414e-15 0.2519
2.8710e-15 0.1999
1.2317e-14 0.1470
3.7686e-14 0.0998
8.6286e-15 0.1692
3.1556e-15 0.3866
2.0474e-15 0.2248
0.0000e+00 1.0000
2.7171e-15 0.2854
3.5303e-15 0.2374
2.3629e-13 0.0450
7.1350e-12 0.0096
1.7208e-11 0.0064
7.2578e-12 0.0095
2.4895e-13 0.0438
2.8431e-15 0.2280
8.0840e-16 0.2209
1.5060e-15 0.2685
1.0764e-14 0.1810
7.1391e-12 0.0097
8.1545e-11 0.0031
1.7917e-10 0.0020
8.1351e-11 0.0031
7.1725e-12 0.0096
7.9984e-15 0.1620
2.1687e-15 0.2800
3.1119e-15 0.3067
4.0960e-14 0.1007
1.6924e-11 0.0065
1.7993e-10 0.0020
5.0227e-10 0.0009
