     9      9     20
d_kernel   u_kernel

8.0351e-15 0.3176
2.7232e-14 0.1599
6.0271e-14 0.1120
1.0422e-13 0.0865
1.2428e-13 0.0800
8.2630e-14 0.0985
6.3367e-14 0.1122
3.5074e-14 0.1536
1.5154e-14 0.2332
3.2614e-14 0.1562
8.1055e-14 0.0956
1.3326e-13 0.0765
1.7279e-13 0.0689
1.8042e-13 0.0648
1.4056e-13 0.0722
1.3038e-13 0.0779
8.3916e-14 0.0986
3.2282e-14 0.1547
7.9852e-14 0.0958
1.2827e-13 0.0778
1.8704e-13 0.0645
2.3575e-13 0.0568
2.5215e-13 0.0557
2.1051e-13 0.0608
2.0167e-13 0.0603
1.4414e-13 0.0760
6.4545e-14 0.1081
9.6704e-14 0.0888
1.7320e-13 0.0681
2.0963e-13 0.0589
4.2535e-13 0.0421
1.0770e-12 0.0250
4.2941e-13 0.0422
2.5132e-13 0.0563
1.6871e-13 0.0678
1.1133e-13 0.0889
1.0493e-13 0.0841
1.8453e-13 0.0647
2.5464e-13 0.0572
1.0681e-12 0.0251
1.1503e-09 0.0002
1.0389e-12 0.0255
2.5667e-13 0.0550
1.8288e-13 0.0640
1.1574e-13 0.0841
9.2217e-14 0.0899
1.7233e-13 0.0650
2.5072e-13 0.0562
4.6373e-13 0.0411
1.0232e-12 0.0257
4.4134e-13 0.0423
2.5563e-13 0.0557
1.7544e-13 0.0660
1.1257e-13 0.0843
7.0744e-14 0.1066
1.3340e-13 0.0749
2.0491e-13 0.0620
2.2232e-13 0.0584
2.4175e-13 0.0561
2.6528e-13 0.0548
2.1153e-13 0.0618
1.3309e-13 0.0776
7.8481e-14 0.1024
3.8894e-14 0.1417
9.9375e-14 0.0909
1.4050e-13 0.0720
1.6724e-13 0.0670
1.7416e-13 0.0663
1.6402e-13 0.0695
1.4143e-13 0.0746
1.0298e-13 0.0922
3.1690e-14 0.1518
1.4193e-14 0.2349
3.9049e-14 0.1499
6.3647e-14 0.1108
9.8844e-14 0.0931
9.1206e-14 0.0905
9.2246e-14 0.0976
6.2128e-14 0.1137
3.1227e-14 0.1501
8.5488e-15 0.2960
1.2942e-14 0.2332
5.3819e-14 0.1238
1.2050e-13 0.0810
1.7519e-13 0.0676
1.9466e-13 0.0650
1.6385e-13 0.0697
1.2351e-13 0.0825
5.4377e-14 0.1190
2.6158e-14 0.1718
5.4077e-14 0.1179
1.4108e-13 0.0765
2.4119e-13 0.0568
3.1185e-13 0.0514
3.4228e-13 0.0483
3.2120e-13 0.0496
2.7503e-13 0.0542
1.5478e-13 0.0734
5.6515e-14 0.1089
1.2342e-13 0.0776
2.5085e-13 0.0571
3.7659e-13 0.0464
4.3748e-13 0.0417
5.4746e-13 0.0378
4.5217e-13 0.0420
3.6253e-13 0.0475
2.4696e-13 0.0568
1.1663e-13 0.0829
1.6137e-13 0.0684
3.1766e-13 0.0500
4.2919e-13 0.0435
1.2234e-12 0.0255
3.8586e-12 0.0133
1.1794e-12 0.0254
4.6486e-13 0.0408
2.8411e-13 0.0515
1.7736e-13 0.0677
1.8791e-13 0.0653
3.3117e-13 0.0494
5.0992e-13 0.0391
3.9271e-12 0.0133
1.2135e-09 0.0002
3.8968e-12 0.0132
5.5778e-13 0.0381
3.2760e-13 0.0476
1.9364e-13 0.0646
1.7590e-13 0.0672
2.9773e-13 0.0508
4.4097e-13 0.0422
1.1988e-12 0.0256
3.8174e-12 0.0134
1.2077e-12 0.0254
4.7028e-13 0.0404
3.1115e-13 0.0499
1.5698e-13 0.0692
1.1510e-13 0.0849
2.5667e-13 0.0560
3.9731e-13 0.0460
4.4042e-13 0.0418
5.0024e-13 0.0396
4.3969e-13 0.0420
3.7043e-13 0.0478
2.4883e-13 0.0572
1.0364e-13 0.0856
6.1763e-14 0.1116
1.6273e-13 0.0685
2.6383e-13 0.0559
3.3796e-13 0.0500
3.3790e-13 0.0486
2.8910e-13 0.0512
2.7637e-13 0.0539
1.5319e-13 0.0721
5.2659e-14 0.1146
1.7022e-14 0.2342
5.1525e-14 0.1239
9.1026e-14 0.0941
1.7551e-13 0.0685
1.8528e-13 0.0658
1.6022e-13 0.0722
1.1845e-13 0.0831
5.7193e-14 0.1186
1.6011e-14 0.2212
2.1107e-14 0.1799
8.2947e-14 0.1009
2.1853e-13 0.0621
2.4834e-13 0.0544
2.8382e-13 0.0527
2.7313e-13 0.0561
1.9027e-13 0.0651
8.2790e-14 0.0925
1.9704e-14 0.1795
8.6989e-14 0.0990
2.5683e-13 0.0569
4.4823e-13 0.0427
5.4161e-13 0.0382
6.1340e-13 0.0368
5.7228e-13 0.0380
4.5001e-13 0.0426
2.4266e-13 0.0584
7.9188e-14 0.0961
1.7669e-13 0.0660
4.1263e-13 0.0443
6.2626e-13 0.0356
8.9009e-13 0.0303
1.1116e-12 0.0270
9.1799e-13 0.0298
6.9412e-13 0.0346
4.5245e-13 0.0428
1.9461e-13 0.0631
2.8658e-13 0.0546
5.1583e-13 0.0389
8.3435e-13 0.0306
2.8933e-12 0.0164
1.1206e-11 0.0076
3.0214e-12 0.0161
9.2110e-13 0.0294
5.2234e-13 0.0389
2.6519e-13 0.0562
3.3044e-13 0.0504
5.9320e-13 0.0369
1.0886e-12 0.0274
1.0967e-11 0.0076
1.2307e-09 0.0002
1.1189e-11 0.0076
1.1500e-12 0.0269
5.8780e-13 0.0372
3.1530e-13 0.0509
2.8156e-13 0.0544
5.6577e-13 0.0382
9.3970e-13 0.0295
2.9693e-12 0.0160
1.1077e-11 0.0076
3.0292e-12 0.0159
8.9972e-13 0.0302
5.5886e-13 0.0379
2.7987e-13 0.0541
2.0384e-13 0.0647
4.6705e-13 0.0418
6.8709e-13 0.0340
9.1059e-13 0.0300
1.0915e-12 0.0273
8.7022e-13 0.0308
6.3828e-13 0.0358
4.2075e-13 0.0439
1.8222e-13 0.0659
9.0787e-14 0.0974
2.5510e-13 0.0566
4.0465e-13 0.0442
5.3397e-13 0.0393
6.3374e-13 0.0359
5.5650e-13 0.0379
4.2341e-13 0.0435
2.6201e-13 0.0558
8.5631e-14 0.0933
1.8379e-14 0.1978
8.3087e-14 0.0999
1.7463e-13 0.0694
2.6145e-13 0.0561
3.0942e-13 0.0513
2.8192e-13 0.0541
1.9006e-13 0.0640
7.4331e-14 0.0985
2.5749e-14 0.1840
1.7133e-14 0.1664
1.2264e-13 0.0808
2.8394e-13 0.0527
4.8255e-13 0.0413
5.2551e-13 0.0402
4.3038e-13 0.0436
3.0194e-13 0.0531
1.3565e-13 0.0792
2.8926e-14 0.1646
1.2106e-13 0.0814
3.5609e-13 0.0479
7.3095e-13 0.0333
9.3486e-13 0.0294
1.0679e-12 0.0274
9.3042e-13 0.0293
7.0653e-13 0.0336
3.7393e-13 0.0468
1.1442e-13 0.0826
2.9363e-13 0.0540
7.2314e-13 0.0335
1.1838e-12 0.0262
1.7753e-12 0.0218
2.3389e-12 0.0188
1.8072e-12 0.0213
1.1650e-12 0.0264
7.5409e-13 0.0326
3.1368e-13 0.0512
4.3883e-13 0.0438
9.5719e-13 0.0289
1.7922e-12 0.0213
7.3987e-12 0.0099
3.4434e-11 0.0041
7.5693e-12 0.0099
1.8016e-12 0.0214
9.6588e-13 0.0288
4.6906e-13 0.0424
5.0752e-13 0.0399
1.0616e-12 0.0280
2.2835e-12 0.0188
3.4253e-11 0.0041
1.1695e-09 0.0003
3.4130e-11 0.0041
2.2789e-12 0.0188
1.0285e-12 0.0279
4.9511e-13 0.0400
4.6246e-13 0.0421
9.2892e-13 0.0293
1.8065e-12 0.0214
7.6043e-12 0.0099
3.4189e-11 0.0041
7.4051e-12 0.0099
1.7706e-12 0.0215
9.7292e-13 0.0293
4.3519e-13 0.0427
3.0996e-13 0.0518
7.4559e-13 0.0331
1.2599e-12 0.0255
1.8215e-12 0.0213
2.2459e-12 0.0189
1.7511e-12 0.0214
1.1815e-12 0.0264
7.1915e-13 0.0333
3.1202e-13 0.0523
1.1574e-13 0.0833
3.7591e-13 0.0460
7.1324e-13 0.0335
9.2562e-13 0.0291
1.0664e-12 0.0275
9.6972e-13 0.0290
7.3158e-13 0.0333
4.0256e-13 0.0451
1.1553e-13 0.0810
2.3444e-14 0.1646
1.2032e-13 0.0830
3.1913e-13 0.0512
4.2863e-13 0.0440
5.0164e-13 0.0406
4.4044e-13 0.0435
3.0808e-13 0.0533
1.1301e-13 0.0833
2.8258e-14 0.1596
3.0701e-14 0.1488
1.7253e-13 0.0687
4.3057e-13 0.0437
7.1449e-13 0.0340
8.0258e-13 0.0317
6.9803e-13 0.0350
4.3240e-13 0.0442
1.5704e-13 0.0725
2.7817e-14 0.1694
1.5398e-13 0.0698
5.8138e-13 0.0375
1.1621e-12 0.0264
1.6938e-12 0.0220
1.9198e-12 0.0208
1.7071e-12 0.0221
1.2155e-12 0.0261
6.0456e-13 0.0372
1.8043e-13 0.0655
4.4563e-13 0.0423
1.2004e-12 0.0261
2.1848e-12 0.0195
3.5878e-12 0.0151
4.9489e-12 0.0127
3.5913e-12 0.0152
2.1648e-12 0.0195
1.2158e-12 0.0262
4.3688e-13 0.0428
6.7530e-13 0.0351
1.6951e-12 0.0219
3.5788e-12 0.0151
1.8547e-11 0.0061
8.0859e-11 0.0026
1.8487e-11 0.0061
3.6669e-12 0.0151
1.6893e-12 0.0220
7.1457e-13 0.0340
8.2336e-13 0.0317
1.8204e-12 0.0211
4.7696e-12 0.0129
8.0625e-11 0.0026
9.7789e-10 0.0004
8.0632e-11 0.0026
4.7090e-12 0.0129
1.8338e-12 0.0212
8.2549e-13 0.0316
6.6165e-13 0.0344
1.6590e-12 0.0224
3.5975e-12 0.0150
1.8614e-11 0.0061
8.0583e-11 0.0026
1.8622e-11 0.0061
3.6286e-12 0.0150
1.7139e-12 0.0218
6.6776e-13 0.0354
4.5978e-13 0.0429
1.2687e-12 0.0257
