     9      9     21
d_kernel   u_kernel

2.1359e-15 0.3292
1.2022e-14 0.2171
4.3087e-14 0.1306
7.5114e-14 0.0996
1.0575e-13 0.0855
8.1659e-14 0.1014
3.7571e-14 0.1367
1.6601e-14 0.2133
6.1565e-16 0.3013
1.1849e-14 0.2414
6.1088e-14 0.1095
1.5799e-13 0.0702
2.4016e-13 0.0567
2.6544e-13 0.0556
2.2538e-13 0.0586
1.6424e-13 0.0699
7.1571e-14 0.1073
8.7479e-15 0.2570
4.4349e-14 0.1290
1.8268e-13 0.0670
2.8817e-13 0.0504
3.5565e-13 0.0473
3.7696e-13 0.0448
3.3941e-13 0.0466
2.8170e-13 0.0523
1.4552e-13 0.0713
4.0370e-14 0.1374
7.7844e-14 0.0980
2.4783e-13 0.0561
4.0047e-13 0.0449
6.2159e-13 0.0351
1.2775e-12 0.0233
5.8678e-13 0.0355
3.5125e-13 0.0463
2.7914e-13 0.0545
7.5944e-14 0.0955
8.9746e-14 0.0888
2.7613e-13 0.0536
3.7009e-13 0.0455
1.2709e-12 0.0232
1.1518e-09 0.0002
1.2402e-12 0.0234
3.9868e-13 0.0439
2.6711e-13 0.0545
1.0821e-13 0.0846
8.6479e-14 0.0951
2.5003e-13 0.0550
3.5567e-13 0.0470
5.7833e-13 0.0366
1.2197e-12 0.0235
5.8266e-13 0.0361
3.3492e-13 0.0474
2.2934e-13 0.0589
7.8576e-14 0.1010
4.1049e-14 0.1315
1.6859e-13 0.0677
3.1669e-13 0.0504
3.7562e-13 0.0453
3.8456e-13 0.0442
3.4673e-13 0.0465
2.7623e-13 0.0519
1.6203e-13 0.0698
5.0460e-14 0.1284
1.2108e-14 0.2454
6.9258e-14 0.1071
1.8395e-13 0.0669
2.5856e-13 0.0553
2.7364e-13 0.0541
2.5931e-13 0.0569
1.7173e-13 0.0688
7.2935e-14 0.1007
1.8549e-14 0.2050
2.9899e-15 0.4613
1.3438e-14 0.2232
4.4106e-14 0.1290
9.1159e-14 0.0935
1.0888e-13 0.0847
8.3596e-14 0.0914
4.4425e-14 0.1274
1.5432e-14 0.2391
7.5836e-16 0.3073
1.6479e-15 0.3796
1.7218e-14 0.2033
8.5527e-14 0.0973
1.5785e-13 0.0710
1.9366e-13 0.0664
1.4893e-13 0.0718
9.0211e-14 0.0929
2.6050e-14 0.1540
4.1798e-15 0.3989
3.1617e-14 0.1565
1.2856e-13 0.0772
3.0968e-13 0.0495
4.5376e-13 0.0423
5.1941e-13 0.0384
4.7564e-13 0.0415
3.2769e-13 0.0506
1.4203e-13 0.0769
1.9315e-14 0.1869
7.3081e-14 0.0998
3.0923e-13 0.0510
5.6622e-13 0.0373
7.5152e-13 0.0326
7.9692e-13 0.0309
6.9884e-13 0.0334
5.8475e-13 0.0377
3.1758e-13 0.0501
8.3148e-14 0.1007
1.4288e-13 0.0741
4.6782e-13 0.0414
7.7850e-13 0.0321
1.6660e-12 0.0217
4.7853e-12 0.0120
1.5709e-12 0.0222
7.4045e-13 0.0333
4.8909e-13 0.0411
1.3468e-13 0.0731
1.7385e-13 0.0663
4.5841e-13 0.0410
7.9330e-13 0.0315
