     9      9     20
d_kernel   u_kernel

0.0000e+00 1.0000
3.1665e-16 0.3706
0.0000e+00 1.0000
2.9420e-16 0.4126
1.0450e-15 0.4105
7.0199e-16 0.3333
3.9758e-16 0.4067
0.0000e+00 1.0000
7.3514e-16 0.3405
0.0000e+00 1.0000
0.0000e+00 1.0000
5.9122e-16 0.3663
2.5181e-16 0.4266
4.8537e-16 0.2868
1.9155e-15 0.4307
7.5509e-16 0.3489
1.0494e-15 0.3550
0.0000e+00 1.0000
6.8528e-16 0.3418
4.3627e-16 0.4076
1.3541e-15 0.4016
1.3015e-15 0.3722
1.0595e-15 0.2985
1.7914e-15 0.2653
6.1014e-15 0.2486
1.1359e-14 0.1916
7.0042e-15 0.2511
4.0961e-16 0.3883
5.4607e-16 0.4105
0.0000e+00 1.0000
5.9952e-16 0.3343
5.4043e-15 0.2991
8.6835e-14 0.0882
4.1089e-13 0.0424
6.4954e-13 0.0343
3.9622e-13 0.0435
1.1776e-15 0.4222
6.9155e-16 0.3167
7.9134e-16 0.4052
2.6953e-15 0.3041
7.7340e-14 0.0898
9.4594e-13 0.0288
2.4576e-12 0.0182
3.0597e-12 0.0161
2.4571e-12 0.0180
4.3689e-16 0.3906
5.4586e-16 0.3325
1.1410e-15 0.3504
6.3536e-15 0.2674
4.1624e-13 0.0430
2.4487e-12 0.0182
4.8056e-12 0.0129
1.0326e-11 0.0083
5.0578e-12 0.0127
5.3315e-16 0.3045
6.0701e-16 0.2950
9.3769e-16 0.3813
1.0601e-14 0.2351
6.3309e-13 0.0347
3.0926e-12 0.0162
1.0272e-11 0.0083
1.2578e-09 0.0002
1.0504e-11 0.0083
7.6166e-16 0.4819
9.8435e-16 0.3585
9.2442e-16 0.4206
6.2002e-15 0.2848
4.1366e-13 0.0427
2.4145e-12 0.0182
4.9850e-12 0.0128
1.0503e-11 0.0082
4.8650e-12 0.0128
2.8869e-16 0.3779
0.0000e+00 1.0000
0.0000e+00 1.0000
2.1658e-15 0.4305
8.7622e-14 0.0852
9.5194e-13 0.0284
2.4961e-12 0.0180
2.9781e-12 0.0163
2.4964e-12 0.0181
0.0000e+00 1.0000
6.9425e-16 0.4329
1.0411e-15 0.2876
0.0000e+00 1.0000
3.7046e-16 0.3549
4.7905e-16 0.4247
6.5895e-16 0.3346
1.2326e-15 0.4570
