     9      9     20
d_kernel   u_kernel

1.4826e-15 0.2857
2.1411e-15 0.3259
1.0733e-14 0.2482
3.6473e-14 0.1360
5.6135e-14 0.1160
3.8646e-14 0.1353
1.4925e-14 0.1851
3.2755e-15 0.3879
1.2148e-15 0.3161
2.3366e-15 0.4412
2.3722e-14 0.1616
1.4214e-13 0.0747
2.9768e-13 0.0534
3.5198e-13 0.0470
2.9412e-13 0.0509
1.3722e-13 0.0738
2.5609e-14 0.1750
3.4078e-15 0.2782
1.1634e-14 0.2326
1.3065e-13 0.0725
4.1415e-13 0.0433
6.3582e-13 0.0348
6.5336e-13 0.0337
6.2088e-13 0.0349
4.2990e-13 0.0429
1.2543e-13 0.0767
5.6662e-15 0.3328
3.4112e-14 0.1469
3.1456e-13 0.0504
6.1979e-13 0.0354
8.9364e-13 0.0287
1.6131e-12 0.0207
8.9458e-13 0.0299
6.4235e-13 0.0350
2.8358e-13 0.0522
2.6276e-14 0.1570
4.7300e-14 0.1292
3.2995e-13 0.0479
6.6519e-13 0.0342
1.6304e-12 0.0207
1.1560e-09 0.0002
1.6656e-12 0.0208
6.6912e-13 0.0338
3.7364e-13 0.0461
5.1234e-14 0.1155
4.2438e-14 0.1301
2.7803e-13 0.0538
6.0148e-13 0.0357
8.9604e-13 0.0292
1.6000e-12 0.0209
9.2266e-13 0.0290
5.9831e-13 0.0357
2.8886e-13 0.0525
3.6173e-14 0.1385
9.7284e-15 0.2590
1.2667e-13 0.0769
4.0937e-13 0.0432
6.4613e-13 0.0347
6.7901e-13 0.0334
6.1352e-13 0.0356
4.1141e-13 0.0444
1.3283e-13 0.0749
7.0861e-15 0.2690
0.0000e+00 1.0000
2.5095e-14 0.1624
1.4902e-13 0.0752
2.8227e-13 0.0532
3.3762e-13 0.0485
2.8616e-13 0.0519
1.2762e-13 0.0764
2.1122e-14 0.1754
1.5643e-15 0.3419
7.8045e-16 0.2754
3.0753e-15 0.3654
1.0907e-14 0.2209
3.1743e-14 0.1484
5.2230e-14 0.1142
3.6474e-14 0.1336
1.0355e-14 0.2308
1.1851e-15 0.2947
8.3256e-16 0.3065
1.3249e-15 0.4451
1.7635e-15 0.3713
2.1036e-14 0.1731
8.0321e-14 0.0978
1.0955e-13 0.0846
8.0722e-14 0.0944
2.7371e-14 0.1517
9.9255e-16 0.2748
0.0000e+00 1.0000
2.2885e-15 0.3089
4.8206e-14 0.1200
2.5893e-13 0.0545
5.6727e-13 0.0373
7.0717e-13 0.0334
6.4132e-13 0.0355
2.9932e-13 0.0523
4.5096e-14 0.1243
4.3400e-15 0.3283
1.9651e-14 0.1723
2.9412e-13 0.0509
9.0645e-13 0.0299
1.3693e-12 0.0243
1.5094e-12 0.0227
1.3810e-12 0.0239
9.4092e-13 0.0294
2.5725e-13 0.0551
1.3447e-14 0.2097
6.6251e-14 0.1054
