     9      9     21
d_kernel   u_kernel

4.7858e-16 0.2980
8.3473e-16 0.3869
4.9737e-16 0.2946
6.6479e-16 0.2554
4.2134e-16 0.2968
1.3546e-15 0.3593
2.2983e-15 0.3495
7.9488e-16 0.3282
4.3338e-16 0.3296
3.8991e-16 0.3393
9.3624e-16 0.4363
1.3067e-15 0.2458
1.3856e-15 0.2604
2.8068e-15 0.2977
4.1328e-15 0.3336
2.1938e-15 0.2942
5.8101e-16 0.4546
5.1200e-16 0.3136
7.3607e-16 0.3190
1.7819e-15 0.3134
2.9373e-14 0.1256
7.5385e-13 0.0296
1.7179e-12 0.0203
7.5604e-13 0.0293
2.5733e-14 0.1292
1.6453e-15 0.2921
1.4467e-15 0.4111
1.4285e-15 0.2649
2.9779e-15 0.3780
7.4807e-13 0.0293
5.2634e-12 0.0121
7.8544e-12 0.0097
5.4605e-12 0.0120
7.9084e-13 0.0290
3.4314e-15 0.2455
1.2701e-15 0.3169
9.5044e-16 0.2671
4.6332e-15 0.2192
1.7446e-12 0.0202
7.8675e-12 0.0097
1.1983e-09 0.0002
7.8603e-12 0.0097
1.7246e-12 0.0203
3.7894e-15 0.2315
8.2501e-16 0.2911
1.0049e-15 0.2799
2.7755e-15 0.2741
7.7736e-13 0.0292
5.4233e-12 0.0119
7.8525e-12 0.0097
5.4236e-12 0.0119
8.2002e-13 0.0285
1.7861e-15 0.2120
1.0322e-15 0.2765
6.5167e-16 0.2900
1.2702e-15 0.4764
3.2335e-14 0.1222
7.7975e-13 0.0288
1.8149e-12 0.0198
7.9188e-13 0.0289
3.1174e-14 0.1175
1.1430e-15 0.2271
6.7181e-16 0.2958
4.8877e-16 0.4301
5.7745e-16 0.2941
1.4272e-15 0.4153
2.3620e-15 0.3072
5.7990e-15 0.2200
2.1721e-15 0.2933
1.5589e-15 0.2819
6.1532e-16 0.2856
4.9327e-16 0.3423
8.2807e-16 0.3193
7.6060e-16 0.4349
3.3527e-16 0.3608
7.6187e-16 0.3214
1.5531e-15 0.3410
9.0257e-16 0.3116
1.5565e-15 0.3349
2.9015e-16 0.3537
3.4112e-16 0.3359
4.6792e-16 0.3278
5.2573e-16 0.3594
1.9425e-15 0.2689
1.0420e-15 0.2805
1.6821e-15 0.3490
1.6554e-15 0.3032
1.8502e-15 0.3882
9.8752e-16 0.3471
5.3626e-16 0.4376
