     9      9     21
d_kernel   u_kernel

3.0161e-15 0.4168
1.7323e-14 0.2027
5.6116e-14 0.1153
9.2695e-14 0.0925
9.1552e-14 0.0893
8.9641e-14 0.0935
5.4036e-14 0.1167
1.3322e-14 0.2332
2.5762e-15 0.3641
2.3748e-14 0.1806
7.8638e-14 0.0990
1.5626e-13 0.0689
2.3674e-13 0.0573
2.2641e-13 0.0591
2.5993e-13 0.0560
1.4207e-13 0.0711
7.1553e-14 0.1044
2.1993e-14 0.1969
4.8688e-14 0.1300
1.6229e-13 0.0700
2.5828e-13 0.0552
3.2389e-13 0.0488
3.7925e-13 0.0446
3.4810e-13 0.0482
2.6976e-13 0.0525
1.7846e-13 0.0672
4.4384e-14 0.1251
9.5958e-14 0.0971
2.2100e-13 0.0595
3.3400e-13 0.0483
5.3141e-13 0.0380
1.1781e-12 0.0242
5.3064e-13 0.0383
3.0794e-13 0.0489
2.4396e-13 0.0571
8.6946e-14 0.0982
9.1356e-14 0.0917
2.2870e-13 0.0588
3.2600e-13 0.0474
1.2084e-12 0.0236
1.1513e-09 0.0002
1.2080e-12 0.0235
3.6607e-13 0.0457
2.4441e-13 0.0561
9.7031e-14 0.0869
8.2931e-14 0.0974
2.1208e-13 0.0604
3.3305e-13 0.0488
5.7112e-13 0.0369
1.2417e-12 0.0234
5.5827e-13 0.0374
3.5288e-13 0.0474
2.0667e-13 0.0596
6.9377e-14 0.1043
4.5508e-14 0.1311
1.6474e-13 0.0717
2.6618e-13 0.0532
3.0912e-13 0.0507
3.5718e-13 0.0470
3.0352e-13 0.0499
2.7574e-13 0.0537
1.4029e-13 0.0738
4.1000e-14 0.1322
1.8063e-14 0.2039
8.0622e-14 0.1004
1.7627e-13 0.0686
2.2727e-13 0.0582
2.6182e-13 0.0552
2.0978e-13 0.0612
1.5305e-13 0.0666
7.2348e-14 0.1091
1.3395e-14 0.2052
5.3743e-15 0.3662
2.3380e-14 0.1894
5.4754e-14 0.1191
8.7067e-14 0.0912
1.0471e-13 0.0844
8.5242e-14 0.0959
4.7963e-14 0.1265
1.5103e-14 0.2292
3.0617e-15 0.3397
3.5671e-15 0.3486
2.4986e-14 0.1679
9.7482e-14 0.0902
1.6061e-13 0.0724
1.7795e-13 0.0689
1.6387e-13 0.0710
8.5032e-14 0.0969
