     9      9     20
d_kernel   u_kernel

0.0000e+00 1.0000
3.6860e-16 0.3627
5.3757e-16 0.3112
8.9601e-16 0.2643
1.1965e-15 0.2548
1.2866e-15 0.2858
4.4004e-16 0.2641
0.0000e+00 1.0000
0.0000e+00 1.0000
5.0047e-16 0.3798
1.1206e-15 0.4395
8.2761e-16 0.2561
1.8854e-15 0.2411
2.1760e-15 0.2484
1.6454e-15 0.2282
7.3380e-16 0.3757
1.5130e-15 0.3973
1.0610e-15 0.4103
7.8236e-16 0.3272
9.6682e-16 0.2923
1.3316e-15 0.2450
4.1870e-14 0.0924
2.8516e-13 0.0391
3.8845e-14 0.0965
2.4292e-15 0.3503
1.6436e-15 0.3468
9.1676e-16 0.4204
4.1659e-16 0.4576
8.1328e-16 0.2576
4.0630e-14 0.0990
7.3998e-12 0.0098
1.9748e-11 0.0062
7.6091e-12 0.0097
3.1951e-14 0.1047
1.5018e-15 0.3935
1.4662e-15 0.2857
1.1576e-15 0.2835
2.5514e-15 0.2796
2.8512e-13 0.0392
1.9483e-11 0.0063
1.2649e-09 0.0002
1.9663e-11 0.0062
3.2965e-13 0.0367
1.2316e-15 0.2214
4.8034e-16 0.3540
1.3180e-15 0.2915
0.0000e+00 1.0000
4.0925e-14 0.0963
7.4550e-12 0.0098
1.9506e-11 0.0062
7.5752e-12 0.0097
4.1081e-14 0.0957
2.3579e-15 0.4281
6.6285e-16 0.3050
7.3020e-16 0.3341
1.0916e-15 0.2950
2.2267e-15 0.2355
4.0762e-14 0.0917
3.0358e-13 0.0379
3.9627e-14 0.0962
1.3169e-15 0.2776
8.5689e-16 0.2595
5.5510e-16 0.3570
1.1297e-15 0.4322
5.3337e-16 0.3301
8.1746e-16 0.2825
9.0296e-16 0.3289
1.1493e-15 0.2360
1.4267e-15 0.2481
1.0499e-15 0.4136
8.0788e-16 0.2740
7.9892e-16 0.3187
0.0000e+00 1.0000
5.4443e-16 0.4262
8.1056e-16 0.3180
1.6034e-16 0.4237
6.0708e-16 0.4077
1.0208e-15 0.3952
6.9140e-16 0.4833
0.0000e+00 1.0000
0.0000e+00 1.0000
5.3853e-16 0.4017
4.3099e-16 0.3875
7.8926e-16 0.3762
8.4306e-16 0.3694
9.7010e-16 0.2529
6.7986e-16 0.3132
6.4020e-16 0.3656
1.0511e-15 0.3765
