     9      9     20
d_kernel   u_kernel

2.2397e-16 0.3932
2.6876e-16 0.3932
4.2855e-16 0.2940
4.9115e-16 0.3735
6.6338e-16 0.2803
6.8882e-16 0.3649
0.0000e+00 1.0000
1.2451e-15 0.4240
8.3216e-16 0.4222
5.9920e-16 0.3934
1.6977e-16 0.4416
6.6080e-16 0.3560
1.1769e-15 0.4048
1.6136e-15 0.3538
1.1661e-15 0.3109
4.9454e-15 0.2804
8.3760e-15 0.2560
9.4279e-15 0.2460
5.4626e-16 0.4064
7.0607e-16 0.2956
6.4413e-16 0.3026
9.7972e-16 0.2866
1.5780e-14 0.1918
4.4915e-14 0.1286
1.3042e-13 0.0784
1.9015e-13 0.0670
1.1789e-13 0.0801
0.0000e+00 1.0000
0.0000e+00 1.0000
1.3722e-15 0.3159
1.0615e-14 0.2052
1.1456e-13 0.0851
3.1916e-13 0.0513
5.2634e-13 0.0387
6.2967e-13 0.0360
5.2512e-13 0.0395
9.7478e-16 0.3865
8.2600e-16 0.2633
4.2872e-15 0.3947
6.0869e-14 0.1090
3.2037e-13 0.0498
6.5669e-13 0.0347
9.6199e-13 0.0283
1.0186e-12 0.0276
9.6021e-13 0.0291
0.0000e+00 1.0000
7.4061e-16 0.2714
5.2549e-15 0.3216
1.2442e-13 0.0763
5.2177e-13 0.0396
9.6649e-13 0.0289
1.9203e-12 0.0204
5.1912e-12 0.0115
1.8530e-12 0.0208
0.0000e+00 1.0000
0.0000e+00 1.0000
9.5036e-15 0.2210
1.6828e-13 0.0688
6.2774e-13 0.0354
1.0086e-12 0.0279
5.2715e-12 0.0115
1.2259e-09 0.0002
5.1458e-12 0.0116
7.4857e-16 0.2977
9.5722e-16 0.4040
9.9690e-15 0.2635
1.2502e-13 0.0785
5.2946e-13 0.0391
8.8835e-13 0.0297
1.8748e-12 0.0205
5.3139e-12 0.0115
1.9534e-12 0.0202
3.0657e-16 0.3649
0.0000e+00 1.0000
3.2753e-15 0.3857
4.7562e-14 0.1210
2.8779e-13 0.0522
7.0426e-13 0.0340
9.6208e-13 0.0286
1.0659e-12 0.0274
9.1520e-13 0.0296
0.0000e+00 1.0000
2.3958e-16 0.3254
8.0931e-16 0.3393
7.5638e-16 0.2783
5.0441e-16 0.3309
7.3397e-16 0.2519
1.1933e-15 0.3408
1.1008e-15 0.4117
6.5195e-16 0.3538
4.6164e-16 0.3498
1.1078e-15 0.3604
5.5351e-16 0.4069
1.3269e-15 0.2582
1.4632e-15 0.4091
3.1416e-15 0.2673
8.9358e-15 0.2510
1.7783e-14 0.1811
1.2617e-14 0.2156
0.0000e+00 1.0000
7.9322e-16 0.3996
0.0000e+00 1.0000
1.6395e-15 0.3176
2.0157e-14 0.1771
7.5138e-14 0.0983
2.0552e-13 0.0594
2.5283e-13 0.0558
2.2085e-13 0.0598
1.6069e-15 0.4445
8.9233e-16 0.4435
1.2314e-15 0.3232
1.3628e-14 0.1987
1.7578e-13 0.0651
5.9182e-13 0.0370
9.9281e-13 0.0286
1.1259e-12 0.0270
9.4618e-13 0.0294
0.0000e+00 1.0000
6.6390e-16 0.2747
3.6204e-15 0.3030
8.4610e-14 0.0933
5.3752e-13 0.0385
1.3523e-12 0.0250
2.0407e-12 0.0200
2.2532e-12 0.0189
1.9498e-12 0.0206
7.9107e-16 0.3431
1.1854e-15 0.4313
7.2797e-15 0.2906
2.0575e-13 0.0619
9.9248e-13 0.0286
1.9373e-12 0.0204
5.0633e-12 0.0125
1.7913e-11 0.0059
5.0692e-12 0.0124
0.0000e+00 1.0000
1.0851e-15 0.3961
1.0446e-14 0.2405
2.7503e-13 0.0533
1.1526e-12 0.0262
2.3138e-12 0.0188
1.8013e-11 0.0059
1.2347e-09 0.0003
1.7836e-11 0.0060
1.2267e-15 0.3063
7.8788e-16 0.2488
9.5999e-15 0.2614
2.2932e-13 0.0598
9.8607e-13 0.0287
1.9002e-12 0.0207
5.1581e-12 0.0124
1.8126e-11 0.0059
5.1531e-12 0.0124
7.3326e-16 0.4365
6.9161e-16 0.4334
2.6953e-15 0.3527
9.1585e-14 0.0919
5.2893e-13 0.0385
1.2699e-12 0.0249
1.9791e-12 0.0201
2.3039e-12 0.0187
1.9325e-12 0.0205
3.4183e-16 0.3815
8.9026e-16 0.3222
7.5186e-16 0.3156
8.9601e-16 0.3464
6.0332e-16 0.3631
7.0927e-16 0.3234
8.6540e-16 0.2560
2.5570e-15 0.4710
1.0828e-15 0.2907
0.0000e+00 1.0000
7.2385e-16 0.3164
1.1292e-15 0.2920
1.7029e-15 0.2325
1.7720e-15 0.3016
2.9724e-15 0.3689
7.2281e-15 0.2533
1.9659e-14 0.1885
7.4385e-15 0.2484
1.1730e-15 0.4212
1.0675e-15 0.3675
1.1748e-15 0.3462
2.4049e-15 0.3575
1.4418e-14 0.1866
1.1647e-13 0.0792
2.9994e-13 0.0513
3.8451e-13 0.0451
3.3415e-13 0.0475
3.0939e-15 0.4846
0.0000e+00 1.0000
2.1933e-15 0.4321
1.2626e-14 0.2018
2.3034e-13 0.0565
9.0285e-13 0.0299
1.7283e-12 0.0218
2.0305e-12 0.0201
1.7213e-12 0.0218
6.9596e-16 0.2837
1.9621e-15 0.3535
6.2337e-15 0.3114
1.1379e-13 0.0801
9.3028e-13 0.0297
2.4286e-12 0.0184
4.0465e-12 0.0143
4.9798e-12 0.0128
4.0412e-12 0.0143
5.3128e-16 0.3594
8.9371e-16 0.2987
5.3874e-15 0.2467
3.1536e-13 0.0490
1.7865e-12 0.0215
4.0710e-12 0.0142
1.4257e-11 0.0073
5.8649e-11 0.0032
1.4243e-11 0.0073
1.0319e-15 0.3955
1.4573e-15 0.2716
1.1447e-14 0.2344
4.2695e-13 0.0428
2.0647e-12 0.0199
5.0734e-12 0.0128
5.8368e-11 0.0032
1.1082e-09 0.0003
5.7911e-11 0.0032
1.3290e-15 0.3723
1.7548e-15 0.4331
9.2270e-15 0.2394
3.1892e-13 0.0483
1.7688e-12 0.0216
4.0105e-12 0.0144
1.4306e-11 0.0072
5.8341e-11 0.0032
1.4345e-11 0.0073
8.3439e-16 0.2841
8.7029e-16 0.3284
1.4694e-15 0.3022
1.1156e-13 0.0809
9.1863e-13 0.0297
2.4982e-12 0.0182
4.1481e-12 0.0142
5.0602e-12 0.0127
4.1460e-12 0.0142
2.0341e-16 0.4051
5.5903e-16 0.3731
0.0000e+00 1.0000
1.6457e-15 0.2737
0.0000e+00 1.0000
9.1689e-16 0.2841
1.6842e-15 0.3397
1.8979e-15 0.3305
1.2088e-15 0.2353
6.1502e-16 0.3601
5.1488e-16 0.4390
1.0575e-15 0.3578
1.0436e-15 0.2307
4.6834e-15 0.4139
3.3349e-15 0.3414
9.0275e-15 0.2223
1.4664e-14 0.1954
9.3824e-15 0.2232
6.2570e-16 0.3279
1.7663e-15 0.3325
1.0765e-15 0.2694
1.5265e-15 0.3082
1.5490e-14 0.1959
1.4949e-13 0.0712
4.1528e-13 0.0426
5.9066e-13 0.0366
4.3378e-13 0.0420
8.9581e-16 0.3122
9.4837e-16 0.3728
2.0595e-15 0.4755
1.5750e-14 0.1759
3.0317e-13 0.0513
1.4098e-12 0.0242
2.8782e-12 0.0170
3.5642e-12 0.0154
2.9607e-12 0.0170
7.4449e-16 0.2862
1.1558e-15 0.3056
3.9998e-15 0.2971
1.4380e-13 0.0694
1.3768e-12 0.0248
4.3288e-12 0.0140
8.1199e-12 0.0102
1.0923e-11 0.0087
8.1363e-12 0.0102
4.9652e-16 0.3093
1.0658e-15 0.2782
1.2860e-14 0.2057
4.4210e-13 0.0416
2.8931e-12 0.0170
8.1153e-12 0.0102
3.3861e-11 0.0046
1.1538e-10 0.0022
3.3960e-11 0.0046
4.2704e-16 0.4045
1.4620e-15 0.2251
1.4200e-14 0.1806
6.0694e-13 0.0357
3.6924e-12 0.0152
1.0910e-11 0.0087
1.1502e-10 0.0022
8.4466e-10 0.0005
1.1482e-10 0.0022
1.5764e-15 0.3858
9.2454e-16 0.2923
1.3021e-14 0.2089
4.5412e-13 0.0405
3.0240e-12 0.0168
8.1992e-12 0.0101
3.4207e-11 0.0046
1.1519e-10 0.0022
3.4161e-11 0.0046
7.5193e-16 0.3750
1.2701e-15 0.4280
2.0015e-15 0.3316
1.6710e-13 0.0677
1.4368e-12 0.0240
4.3839e-12 0.0139
8.3286e-12 0.0101
1.0845e-11 0.0087
8.3250e-12 0.0101
5.6901e-16 0.3605
0.0000e+00 1.0000
1.1836e-15 0.4055
6.2572e-16 0.3053
1.3543e-15 0.4277
0.0000e+00 1.0000
1.1969e-15 0.3232
1.5841e-15 0.2995
2.7832e-15 0.3341
0.0000e+00 1.0000
7.1278e-16 0.4063
1.6259e-15 0.3108
2.1140e-15 0.3050
1.7428e-15 0.4895
3.0027e-15 0.3254
9.6026e-15 0.2201
1.4806e-14 0.1972
8.9931e-15 0.2317
2.9731e-16 0.3878
1.3014e-15 0.3736
1.2520e-15 0.3158
3.1256e-15 0.2662
1.1826e-14 0.2105
1.6447e-13 0.0651
5.3294e-13 0.0372
7.2552e-13 0.0326
5.3968e-13 0.0364
1.3022e-15 0.4198
1.2149e-15 0.3498
1.9390e-15 0.4299
1.8833e-14 0.1771
3.3656e-13 0.0456
