     9      9     20
d_kernel   u_kernel

0.0000e+00 1.0000
0.0000e+00 1.0000
9.7018e-16 0.2527
5.5906e-15 0.2497
1.1848e-14 0.2108
5.1974e-15 0.2979
1.2121e-15 0.2698
8.3805e-16 0.2996
0.0000e+00 1.0000
1.3759e-15 0.3270
5.2658e-15 0.2603
4.9416e-14 0.1211
1.8758e-13 0.0607
3.0625e-13 0.0497
2.0781e-13 0.0593
4.8501e-14 0.1177
2.3764e-15 0.3398
8.4003e-16 0.4744
3.1167e-16 0.3770
6.2429e-14 0.1076
4.3825e-13 0.0423
9.3632e-13 0.0285
1.1218e-12 0.0259
9.4625e-13 0.0286
4.3018e-13 0.0425
4.2502e-14 0.1224
0.0000e+00 1.0000
3.2700e-15 0.3840
2.0693e-13 0.0613
9.6924e-13 0.0284
1.4773e-12 0.0229
2.3222e-12 0.0173
1.4779e-12 0.0226
1.0415e-12 0.0277
1.8862e-13 0.0615
5.3032e-15 0.2980
9.5732e-15 0.2313
3.1149e-13 0.0494
1.1203e-12 0.0257
2.3863e-12 0.0174
1.1624e-09 0.0002
2.3554e-12 0.0173
1.1246e-12 0.0260
3.3022e-13 0.0495
1.0408e-14 0.2102
3.0542e-15 0.3525
2.2484e-13 0.0583
9.9404e-13 0.0280
1.4715e-12 0.0228
2.3362e-12 0.0176
1.5386e-12 0.0222
9.9466e-13 0.0281
1.9323e-13 0.0626
3.3613e-15 0.3614
1.5228e-15 0.2926
5.3679e-14 0.1145
4.6641e-13 0.0409
9.8910e-13 0.0278
1.1138e-12 0.0264
9.7560e-13 0.0280
4.3401e-13 0.0422
5.9567e-14 0.1067
1.3382e-15 0.2222
2.3015e-15 0.4121
4.6450e-15 0.2874
5.2722e-14 0.1168
2.0088e-13 0.0610
3.0495e-13 0.0489
2.3200e-13 0.0588
4.9321e-14 0.1159
3.5807e-15 0.3452
7.4558e-16 0.2663
0.0000e+00 1.0000
2.1290e-15 0.4288
1.1104e-15 0.3253
4.0059e-15 0.3386
1.0244e-14 0.2327
3.9617e-15 0.2289
1.8210e-15 0.3388
1.0244e-15 0.3179
5.2118e-16 0.3178
6.7907e-16 0.2817
1.4280e-15 0.2622
1.4067e-15 0.3631
1.0905e-14 0.2169
1.9590e-14 0.1621
9.9596e-15 0.2151
1.9023e-15 0.4784
8.1356e-16 0.3340
