     9      9     20
d_kernel   u_kernel

1.0801e-15 0.2897
1.4959e-15 0.3882
2.3776e-14 0.1879
5.1358e-14 0.1182
6.7810e-14 0.1044
5.9318e-14 0.1129
2.0947e-14 0.1848
2.1546e-15 0.4324
0.0000e+00 1.0000
2.0557e-15 0.3049
3.7888e-14 0.1469
1.6539e-13 0.0707
2.9356e-13 0.0516
3.3558e-13 0.0479
2.8138e-13 0.0536
1.5619e-13 0.0682
3.3328e-14 0.1435
3.6418e-15 0.3971
1.8729e-14 0.1840
1.5233e-13 0.0708
4.0734e-13 0.0435
5.4578e-13 0.0379
5.7159e-13 0.0363
5.4353e-13 0.0375
3.7720e-13 0.0447
1.4498e-13 0.0724
1.7075e-14 0.2060
4.6562e-14 0.1237
2.7343e-13 0.0535
5.1638e-13 0.0379
8.2767e-13 0.0312
1.5138e-12 0.0215
8.0295e-13 0.0309
5.2447e-13 0.0387
2.6638e-13 0.0537
6.2301e-14 0.1176
7.8886e-14 0.0945
3.2837e-13 0.0488
5.6154e-13 0.0362
1.4679e-12 0.0216
1.1549e-09 0.0002
1.5439e-12 0.0215
5.9290e-13 0.0366
3.3964e-13 0.0478
6.5398e-14 0.1052
6.0967e-14 0.1165
2.6713e-13 0.0540
5.4334e-13 0.0375
8.0574e-13 0.0305
1.5371e-12 0.0213
7.8398e-13 0.0312
5.2405e-13 0.0378
2.7907e-13 0.0517
5.3299e-14 0.1274
1.8429e-14 0.1848
1.3187e-13 0.0712
3.7818e-13 0.0448
5.5577e-13 0.0372
5.9361e-13 0.0362
5.5172e-13 0.0374
3.9354e-13 0.0448
1.5166e-13 0.0734
1.3262e-14 0.2294
3.5694e-15 0.3590
2.6072e-14 0.1542
1.3855e-13 0.0752
2.7584e-13 0.0536
3.2968e-13 0.0489
2.8265e-13 0.0521
1.5560e-13 0.0717
3.6324e-14 0.1338
4.0568e-15 0.3650
3.6712e-16 0.2946
2.1236e-15 0.4505
2.2181e-14 0.1873
6.4034e-14 0.1101
6.6859e-14 0.1030
4.8332e-14 0.1248
1.6484e-14 0.1781
2.5175e-15 0.3314
2.1607e-15 0.3821
1.9083e-15 0.4234
6.9344e-15 0.2818
3.1679e-14 0.1396
9.9074e-14 0.0872
1.3868e-13 0.0731
1.0535e-13 0.0844
2.9163e-14 0.1523
3.7315e-15 0.3383
1.1925e-15 0.3030
3.1301e-15 0.3519
6.7892e-14 0.0987
3.2057e-13 0.0504
6.1621e-13 0.0369
7.0005e-13 0.0338
5.6186e-13 0.0372
2.9762e-13 0.0517
5.7445e-14 0.1179
2.2332e-15 0.3270
3.4895e-14 0.1359
3.1028e-13 0.0505
8.3318e-13 0.0313
1.1512e-12 0.0262
1.2990e-12 0.0247
1.1808e-12 0.0258
8.0455e-13 0.0319
2.7197e-13 0.0529
3.1966e-14 0.1499
8.0628e-14 0.0914
5.8667e-13 0.0369
1.1710e-12 0.0260
2.2020e-12 0.0191
5.8340e-12 0.0109
2.2146e-12 0.0189
1.1066e-12 0.0267
6.0343e-13 0.0370
1.0662e-13 0.0861
1.5321e-13 0.0689
7.2787e-13 0.0336
1.3485e-12 0.0243
5.8733e-12 0.0108
1.2306e-09 0.0002
5.8159e-12 0.0109
1.3078e-12 0.0247
7.0883e-13 0.0338
1.4783e-13 0.0728
8.8156e-14 0.0895
5.9286e-13 0.0375
1.1494e-12 0.0262
2.2687e-12 0.0187
5.8775e-12 0.0109
2.2176e-12 0.0188
1.1272e-12 0.0264
5.7272e-13 0.0374
9.3711e-14 0.0888
3.2015e-14 0.1407
2.9209e-13 0.0530
7.9009e-13 0.0319
1.1656e-12 0.0261
1.3445e-12 0.0246
1.1742e-12 0.0262
8.1281e-13 0.0315
2.8526e-13 0.0524
2.9132e-14 0.1604
6.4833e-15 0.2649
8.0565e-14 0.0972
3.1152e-13 0.0501
5.6558e-13 0.0377
6.8290e-13 0.0342
5.7391e-13 0.0370
3.2458e-13 0.0505
6.6183e-14 0.1066
5.3732e-15 0.3783
5.0227e-16 0.3700
4.8438e-15 0.2850
4.4406e-14 0.1332
1.0544e-13 0.0854
