     9      9     20
d_kernel   u_kernel

0.0000e+00 1.0000
3.4092e-16 0.4443
0.0000e+00 1.0000
0.0000e+00 1.0000
3.1109e-16 0.3506
2.0354e-16 0.4494
4.3851e-16 0.4672
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
3.3263e-16 0.3648
5.0790e-16 0.4044
5.4232e-16 0.4084
7.4530e-16 0.4428
3.5382e-16 0.3268
5.2512e-16 0.3368
0.0000e+00 1.0000
0.0000e+00 1.0000
0.0000e+00 1.0000
2.2168e-16 0.4497
3.5399e-16 0.4292
9.6632e-16 0.3417
6.5516e-16 0.2709
5.4011e-16 0.3024
9.2040e-16 0.2902
0.0000e+00 1.0000
4.1831e-16 0.4830
6.4061e-16 0.3664
1.0586e-15 0.3238
1.0517e-15 0.2677
1.9091e-15 0.2256
8.1883e-16 0.2643
1.6742e-15 0.2368
2.4837e-15 0.2155
8.0204e-17 0.4500
1.1946e-16 0.3943
3.3425e-16 0.4153
1.2164e-15 0.2317
2.3885e-15 0.3304
1.1524e-14 0.1716
1.2045e-12 0.0221
3.8161e-12 0.0131
1.2402e-12 0.0218
0.0000e+00 1.0000
2.4675e-16 0.4315
5.6730e-16 0.3986
9.2498e-16 0.2814
2.0037e-15 0.2295
1.2566e-12 0.0214
2.1648e-11 0.0062
4.9224e-11 0.0040
2.1471e-11 0.0063
0.0000e+00 1.0000
1.7320e-16 0.4743
4.4332e-16 0.4090
6.1685e-16 0.2981
1.4916e-15 0.2890
3.8515e-12 0.0131
4.9765e-11 0.0040
1.3536e-09 0.0003
4.9945e-11 0.0040
0.0000e+00 1.0000
1.9113e-16 0.3123
6.3302e-16 0.2822
6.9310e-16 0.2804
1.6274e-15 0.2281
1.2349e-12 0.0218
2.1601e-11 0.0063
4.9771e-11 0.0040
2.1739e-11 0.0062
5.4770e-16 0.3444
4.6299e-16 0.3199
5.5283e-16 0.3439
5.0082e-16 0.3016
9.9814e-16 0.3119
1.3345e-14 0.1521
1.2788e-12 0.0215
3.8274e-12 0.0131
1.2473e-12 0.0217
0.0000e+00 1.0000
3.0328e-16 0.4615
0.0000e+00 1.0000
1.8155e-16 0.4722
2.4725e-16 0.4897
6.4902e-16 0.4187
2.4230e-16 0.4147
8.0259e-16 0.4704
