     9      9     21
d_kernel   u_kernel

5.8433e-16 0.4540
8.0010e-16 0.3955
1.1047e-15 0.3294
2.0991e-15 0.4114
3.6797e-15 0.3118
3.4023e-15 0.2932
1.7765e-15 0.3000
5.3046e-16 0.3613
8.5027e-16 0.2985
9.3912e-16 0.3476
1.4652e-15 0.2901
2.5449e-14 0.1676
1.3450e-13 0.0717
2.3812e-13 0.0553
1.3672e-13 0.0702
1.9212e-14 0.1619
1.0708e-15 0.3278
5.0180e-16 0.3327
1.0877e-15 0.2486
2.9079e-14 0.1461
3.7375e-13 0.0450
1.0801e-12 0.0269
1.4296e-12 0.0234
1.1181e-12 0.0265
3.6061e-13 0.0464
2.5492e-14 0.1508
8.4889e-16 0.2419
1.9913e-15 0.4381
1.2950e-13 0.0718
1.0576e-12 0.0269
1.9554e-12 0.0197
2.8685e-12 0.0158
1.9586e-12 0.0195
1.1081e-12 0.0264
1.4157e-13 0.0720
1.8294e-15 0.3535
4.6007e-15 0.3375
2.4971e-13 0.0547
1.4714e-12 0.0230
2.8367e-12 0.0158
1.1671e-09 0.0002
2.8913e-12 0.0158
1.4482e-12 0.0229
2.5777e-13 0.0537
1.9924e-15 0.2468
2.5776e-15 0.2686
1.3880e-13 0.0704
1.1107e-12 0.0264
2.0413e-12 0.0196
2.8416e-12 0.0158
1.9838e-12 0.0195
1.1603e-12 0.0258
1.4769e-13 0.0687
1.5466e-15 0.3551
1.0358e-15 0.3744
1.5470e-14 0.1766
3.6076e-13 0.0447
1.0736e-12 0.0267
1.4289e-12 0.0233
1.0945e-12 0.0264
3.7058e-13 0.0453
2.3585e-14 0.1709
1.3603e-15 0.4302
7.4255e-16 0.4236
1.7380e-15 0.2266
2.0370e-14 0.1719
1.2849e-13 0.0705
2.5527e-13 0.0532
1.4264e-13 0.0688
2.3691e-14 0.1518
9.2215e-16 0.3692
6.4361e-16 0.3455
7.8201e-16 0.3353
1.1229e-15 0.3552
9.1826e-16 0.2301
2.7938e-15 0.3689
3.4372e-15 0.2896
2.6248e-15 0.4214
0.0000e+00 1.0000
4.8589e-16 0.3136
5.9381e-16 0.3598
1.2682e-15 0.3380
7.1723e-16 0.3192
1.0433e-15 0.2199
2.3080e-15 0.2660
6.0697e-15 0.2603
1.6549e-15 0.2435
2.6436e-15 0.4228
6.2670e-16 0.2752
1.0708e-15 0.3394
6.9674e-16 0.2872
1.8256e-15 0.3611
4.6377e-14 0.1122
3.0255e-13 0.0485
5.4105e-13 0.0367
3.1678e-13 0.0464
4.2494e-14 0.1135
2.0114e-15 0.3038
7.7451e-16 0.3223
8.4126e-16 0.3920
4.6139e-14 0.1161
8.3185e-13 0.0306
2.7598e-12 0.0172
3.6390e-12 0.0149
2.7124e-12 0.0173
8.1995e-13 0.0303
4.8807e-14 0.1110
2.1071e-15 0.4378
2.6191e-15 0.3433
2.8728e-13 0.0478
2.6600e-12 0.0174
5.9953e-12 0.0116
1.2404e-11 0.0076
5.9587e-12 0.0116
2.7171e-12 0.0173
2.9638e-13 0.0486
4.3716e-15 0.3056
3.9203e-15 0.2732
5.1875e-13 0.0371
3.6018e-12 0.0150
1.2139e-11 0.0077
1.2655e-09 0.0002
1.2438e-11 0.0076
3.6449e-12 0.0149
4.8815e-13 0.0382
2.3233e-15 0.2819
2.2895e-15 0.2814
3.1133e-13 0.0478
2.7317e-12 0.0174
6.0139e-12 0.0115
1.2121e-11 0.0077
6.0329e-12 0.0115
2.7505e-12 0.0171
2.7541e-13 0.0498
2.7042e-15 0.3993
1.3263e-15 0.2562
3.4766e-14 0.1279
8.1003e-13 0.0304
2.6922e-12 0.0173
3.5968e-12 0.0150
2.7577e-12 0.0171
8.5506e-13 0.0297
3.9850e-14 0.1182
1.9560e-15 0.3423
1.1852e-15 0.2548
1.6923e-15 0.2764
3.9190e-14 0.1224
2.9170e-13 0.0491
5.2758e-13 0.0373
3.0649e-13 0.0474
5.1339e-14 0.1047
1.0117e-15 0.2740
8.8243e-16 0.2364
1.9539e-15 0.3204
1.3325e-15 0.3788
1.8994e-15 0.3548
1.7113e-15 0.2681
4.3877e-15 0.3102
1.0694e-15 0.3409
1.0836e-15 0.3427
6.1435e-16 0.3480
7.6455e-16 0.3547
1.3675e-15 0.2670
1.6087e-15 0.2800
1.4096e-15 0.2924
2.4440e-15 0.2706
4.0028e-15 0.3050
2.1825e-15 0.2232
1.4882e-15 0.3582
1.2633e-15 0.2806
8.9289e-16 0.3140
1.8130e-15 0.3519
3.3118e-15 0.2149
5.4615e-14 0.1020
5.0685e-13 0.0364
9.4225e-13 0.0273
5.1415e-13 0.0362
5.5978e-14 0.0997
1.9856e-15 0.3979
1.2909e-15 0.2485
1.9677e-15 0.3009
5.2561e-14 0.1041
1.5374e-12 0.0223
6.0189e-12 0.0118
8.3893e-12 0.0100
5.9057e-12 0.0119
1.5723e-12 0.0221
6.6139e-14 0.0936
2.4470e-15 0.3630
4.0657e-15 0.2389
5.3118e-13 0.0356
5.8631e-12 0.0120
1.8381e-11 0.0067
5.2156e-11 0.0036
1.8722e-11 0.0066
5.9521e-12 0.0119
4.8021e-13 0.0376
3.1994e-15 0.3216
3.0644e-15 0.2684
9.0354e-13 0.0278
8.3143e-12 0.0100
5.2262e-11 0.0036
1.2155e-09 0.0003
5.2835e-11 0.0036
8.3866e-12 0.0100
9.0988e-13 0.0278
4.2705e-15 0.3002
2.4700e-15 0.3750
4.6966e-13 0.0375
5.8278e-12 0.0120
1.8530e-11 0.0067
5.2158e-11 0.0036
1.8540e-11 0.0067
5.8718e-12 0.0119
4.8510e-13 0.0371
3.3138e-15 0.3280
1.1234e-15 0.2591
6.2912e-14 0.0969
1.5380e-12 0.0225
5.8603e-12 0.0119
8.3807e-12 0.0100
5.8970e-12 0.0119
1.6309e-12 0.0220
5.5701e-14 0.0948
2.2670e-15 0.2487
1.1241e-15 0.2740
2.6582e-15 0.2466
5.2598e-14 0.0995
4.9853e-13 0.0368
8.9557e-13 0.0280
5.3180e-13 0.0359
6.1637e-14 0.0926
2.6248e-15 0.2931
4.7914e-16 0.3441
7.9182e-16 0.3238
1.0978e-15 0.2984
1.4378e-15 0.2820
3.3454e-15 0.2341
3.6952e-15 0.3413
2.4466e-15 0.3194
1.5185e-15 0.3200
1.0072e-15 0.2424
8.3947e-16 0.2457
1.8263e-15 0.3066
1.8864e-15 0.2592
2.4707e-15 0.2451
6.2978e-15 0.2729
4.6313e-15 0.2855
1.8182e-15 0.2354
2.8526e-15 0.3403
1.2586e-15 0.2372
1.2130e-15 0.3968
1.0913e-15 0.2835
3.1456e-15 0.2723
5.3117e-14 0.0953
6.4813e-13 0.0316
1.3380e-12 0.0228
6.3559e-13 0.0313
6.8053e-14 0.0874
1.2888e-15 0.2169
1.8510e-15 0.2565
1.6836e-15 0.2301
6.5928e-14 0.0896
2.3768e-12 0.0177
1.0693e-11 0.0089
1.6465e-11 0.0072
1.0938e-11 0.0088
2.4035e-12 0.0176
5.9240e-14 0.0885
2.0225e-15 0.3254
1.7538e-15 0.2552
6.4901e-13 0.0316
1.0804e-11 0.0088
4.6100e-11 0.0042
1.2628e-10 0.0023
4.6475e-11 0.0042
1.1022e-11 0.0088
6.3533e-13 0.0316
4.6297e-15 0.2322
2.2371e-15 0.2632
1.2866e-12 0.0231
1.6558e-11 0.0072
1.2674e-10 0.0023
9.2143e-10 0.0005
1.2694e-10 0.0023
1.6382e-11 0.0072
1.2361e-12 0.0232
2.8444e-15 0.2814
2.8016e-15 0.4123
6.5634e-13 0.0317
1.0632e-11 0.0089
4.6416e-11 0.0042
1.2638e-10 0.0023
4.5977e-11 0.0042
1.0852e-11 0.0088
6.4559e-13 0.0312
3.3847e-15 0.3353
7.0507e-16 0.2522
6.4801e-14 0.0872
2.3307e-12 0.0178
1.0825e-11 0.0089
1.6389e-11 0.0072
1.0802e-11 0.0089
2.3525e-12 0.0178
5.5962e-14 0.1010
2.1100e-15 0.3928
7.1629e-16 0.2665
3.0415e-15 0.4769
6.0704e-14 0.0916
6.2677e-13 0.0319
1.2755e-12 0.0233
6.4368e-13 0.0317
