     9      9     21
d_kernel   u_kernel

5.3321e-16 0.3848
9.7417e-16 0.3142
9.8898e-16 0.3176
1.1301e-15 0.2406
1.9140e-15 0.4104
1.2650e-15 0.4414
1.0937e-15 0.3832
5.5406e-16 0.3006
3.5418e-16 0.3867
3.6848e-16 0.4270
9.8596e-16 0.3078
4.5583e-15 0.2577
6.3255e-14 0.1000
1.0352e-13 0.0772
5.0878e-14 0.1019
6.1037e-15 0.2593
1.7124e-15 0.3904
7.5708e-16 0.3279
5.1152e-16 0.2755
3.5145e-15 0.2648
2.2936e-13 0.0529
1.2256e-12 0.0250
1.7426e-12 0.0209
1.2239e-12 0.0250
2.2476e-13 0.0541
2.8329e-15 0.3175
8.2899e-16 0.4023
1.4447e-15 0.2427
5.2696e-14 0.1035
1.2402e-12 0.0250
2.9470e-12 0.0161
4.0307e-12 0.0134
2.9008e-12 0.0162
1.1616e-12 0.0255
4.4566e-14 0.1089
7.1201e-16 0.3111
1.2447e-15 0.2518
1.0555e-13 0.0754
1.7714e-12 0.0209
3.9788e-12 0.0136
1.1753e-09 0.0002
4.0879e-12 0.0133
1.8241e-12 0.0209
1.0094e-13 0.0779
1.0332e-15 0.3084
1.6186e-15 0.3287
5.0597e-14 0.1071
1.1958e-12 0.0257
2.9004e-12 0.0164
3.8944e-12 0.0136
2.8588e-12 0.0162
1.1476e-12 0.0258
4.9783e-14 0.1125
2.0022e-15 0.3853
6.5444e-16 0.2739
3.7458e-15 0.2524
2.0424e-13 0.0576
1.1499e-12 0.0253
1.7103e-12 0.0210
1.1686e-12 0.0257
2.2691e-13 0.0550
2.5959e-15 0.2322
1.6808e-15 0.2429
7.4593e-16 0.3395
9.7367e-16 0.2305
3.5693e-15 0.2822
4.7433e-14 0.1085
1.0560e-13 0.0753
6.4239e-14 0.0982
2.6477e-15 0.3043
2.2018e-15 0.4057
1.0249e-15 0.4236
3.6499e-16 0.4032
5.8383e-16 0.3740
1.0715e-15 0.3010
8.2359e-16 0.3253
1.9596e-15 0.2972
1.2470e-15 0.3093
9.6459e-16 0.2642
7.2561e-16 0.4211
4.8191e-16 0.3963
9.2650e-16 0.4045
9.0125e-16 0.2666
1.1035e-15 0.2522
1.5249e-15 0.3198
1.6768e-15 0.3302
1.2915e-15 0.2950
1.2922e-15 0.2418
0.0000e+00 1.0000
0.0000e+00 1.0000
5.3520e-16 0.2910
9.2378e-16 0.3900
6.6499e-15 0.2376
1.0731e-13 0.0710
2.6292e-13 0.0489
1.0103e-13 0.0727
8.1578e-15 0.2118
2.0704e-15 0.4879
9.5576e-16 0.3332
8.8153e-16 0.2403
4.1902e-15 0.2740
5.0763e-13 0.0367
3.0194e-12 0.0163
4.6907e-12 0.0131
3.0625e-12 0.0161
4.9824e-13 0.0366
6.3964e-15 0.2627
8.5482e-16 0.3487
0.0000e+00 1.0000
9.6079e-14 0.0778
3.0076e-12 0.0162
9.5399e-12 0.0093
1.8298e-11 0.0063
9.4225e-12 0.0093
2.9981e-12 0.0164
1.0822e-13 0.0728
1.1456e-15 0.3177
2.1820e-15 0.2392
2.5436e-13 0.0495
4.7122e-12 0.0130
1.8156e-11 0.0063
1.2875e-09 0.0002
1.8267e-11 0.0063
4.6667e-12 0.0131
2.3712e-13 0.0515
8.9474e-16 0.2622
1.2350e-15 0.2350
1.0207e-13 0.0730
2.9705e-12 0.0163
9.3172e-12 0.0094
1.8147e-11 0.0063
9.4554e-12 0.0094
2.9520e-12 0.0163
1.0264e-13 0.0742
1.6368e-15 0.3242
9.7946e-16 0.2390
5.7759e-15 0.2158
4.9673e-13 0.0370
2.9259e-12 0.0164
4.5860e-12 0.0133
3.0069e-12 0.0163
5.2342e-13 0.0365
6.4502e-15 0.1985
1.1719e-15 0.3212
9.9895e-16 0.2935
1.6147e-15 0.2580
6.2165e-15 0.2601
9.8486e-14 0.0765
2.4542e-13 0.0499
1.1613e-13 0.0703
5.1245e-15 0.2619
1.4370e-15 0.2309
1.0360e-15 0.2796
6.8438e-16 0.2856
8.1907e-16 0.2685
6.3470e-16 0.3469
1.5080e-15 0.2728
1.2393e-15 0.2894
1.5921e-15 0.4355
1.3055e-15 0.2711
0.0000e+00 1.0000
1.0499e-15 0.3256
1.4122e-15 0.3370
5.6786e-16 0.3116
8.8507e-16 0.2540
1.6142e-15 0.2126
1.6108e-15 0.2805
2.3469e-15 0.3677
1.4027e-15 0.2223
1.8807e-15 0.4388
1.0785e-15 0.3029
1.5485e-15 0.2879
1.6974e-15 0.3170
2.6008e-15 0.2702
1.3600e-13 0.0615
3.5619e-13 0.0408
1.6714e-13 0.0582
7.0343e-15 0.2143
2.1078e-15 0.2196
1.3402e-15 0.2934
1.3383e-15 0.2351
6.1064e-15 0.2485
8.3967e-13 0.0283
6.1116e-12 0.0115
1.0328e-11 0.0089
6.1688e-12 0.0114
7.9930e-13 0.0288
5.1488e-15 0.2018
1.6410e-15 0.3383
1.4794e-15 0.2255
1.2827e-13 0.0645
6.2700e-12 0.0114
2.8290e-11 0.0055
7.4757e-11 0.0031
2.8233e-11 0.0055
6.0780e-12 0.0115
1.3992e-13 0.0619
1.9460e-15 0.2919
1.4865e-15 0.2855
3.5678e-13 0.0408
1.0513e-11 0.0089
7.4885e-11 0.0031
1.1937e-09 0.0003
7.4519e-11 0.0031
1.0441e-11 0.0089
3.2385e-13 0.0419
1.0021e-15 0.2453
2.4516e-15 0.2876
1.5188e-13 0.0583
6.3182e-12 0.0113
2.8070e-11 0.0055
7.4587e-11 0.0031
2.8493e-11 0.0055
6.3181e-12 0.0113
1.3624e-13 0.0612
2.3604e-15 0.2577
8.4942e-16 0.2668
7.9388e-15 0.1843
8.8737e-13 0.0278
6.2147e-12 0.0115
1.0394e-11 0.0089
6.1846e-12 0.0114
8.5534e-13 0.0279
6.5913e-15 0.2315
1.1510e-15 0.2607
1.5699e-15 0.2391
3.0669e-15 0.3992
5.1410e-15 0.2323
1.3797e-13 0.0631
3.3256e-13 0.0410
1.4043e-13 0.0629
6.8114e-15 0.2223
2.2660e-15 0.3673
1.0719e-15 0.2662
0.0000e+00 1.0000
7.1743e-16 0.3494
1.1015e-15 0.4795
9.5717e-16 0.3349
1.5623e-15 0.3301
2.5426e-15 0.2745
8.7863e-16 0.3090
4.8381e-16 0.3529
5.1533e-16 0.3093
1.7216e-15 0.3701
6.9112e-16 0.4035
2.3127e-15 0.3609
1.1866e-15 0.2302
1.5429e-15 0.4831
1.7326e-15 0.2831
2.4643e-15 0.3116
1.4120e-15 0.3151
1.1820e-15 0.3535
1.5629e-15 0.3218
2.7436e-15 0.2553
4.9416e-15 0.2586
1.1019e-13 0.0645
3.6308e-13 0.0384
1.3326e-13 0.0610
5.7038e-15 0.2094
2.2806e-15 0.2294
1.2188e-15 0.3912
1.3170e-15 0.2174
5.2217e-15 0.2125
9.9376e-13 0.0247
9.6037e-12 0.0090
1.7882e-11 0.0068
9.8072e-12 0.0090
1.0213e-12 0.0248
6.3435e-15 0.2240
1.8458e-15 0.3002
1.1378e-15 0.2344
1.2848e-13 0.0626
9.8468e-12 0.0090
6.0766e-11 0.0037
1.5288e-10 0.0021
6.0761e-11 0.0037
9.7198e-12 0.0090
1.1385e-13 0.0660
1.8395e-15 0.3092
1.6411e-15 0.3668
3.3943e-13 0.0399
1.8059e-11 0.0067
1.5274e-10 0.0021
8.4795e-10 0.0005
1.5263e-10 0.0021
1.7927e-11 0.0068
3.4567e-13 0.0397
1.6697e-15 0.2673
2.7742e-15 0.2622
1.2477e-13 0.0614
9.7262e-12 0.0090
6.0820e-11 0.0037
1.5222e-10 0.0021
6.0812e-11 0.0037
9.6407e-12 0.0090
1.1962e-13 0.0640
1.5382e-15 0.2066
2.5792e-15 0.2638
5.3225e-15 0.2097
1.0092e-12 0.0249
9.6945e-12 0.0090
1.7719e-11 0.0068
9.6722e-12 0.0090
1.0082e-12 0.0248
4.2509e-15 0.2022
1.5936e-15 0.3005
1.7945e-15 0.3308
4.2382e-15 0.3202
5.3002e-15 0.2294
1.1317e-13 0.0648
3.4842e-13 0.0388
1.0981e-13 0.0641
6.6024e-15 0.2173
1.6348e-15 0.2075
1.4451e-15 0.2666
1.7486e-15 0.4430
1.4527e-15 0.3060
1.8060e-15 0.4353
3.2307e-15 0.2792
3.1326e-15 0.2789
1.7072e-15 0.2839
2.6079e-15 0.4682
2.0579e-15 0.4771
1.3666e-15 0.3849
1.7819e-15 0.2630
1.6216e-15 0.3029
2.3125e-15 0.3142
3.1780e-15 0.2826
1.5997e-15 0.2598
2.3554e-15 0.3436
2.5833e-15 0.3041
1.1869e-15 0.3041
5.1630e-16 0.3827
2.1191e-15 0.2433
3.1785e-15 0.2418
4.5510e-15 0.2201
6.1435e-14 0.0827
1.9801e-13 0.0489
5.8943e-14 0.0875
3.2280e-15 0.1722
1.6372e-15 0.2225
1.1972e-15 0.3600
1.9678e-15 0.1974
4.5178e-15 0.1949
7.8973e-13 0.0267
1.0763e-11 0.0083
2.1807e-11 0.0060
1.0737e-11 0.0083
7.4650e-13 0.0273
3.5362e-15 0.2124
1.9855e-15 0.2228
2.5580e-15 0.2078
5.8290e-14 0.0841
1.0811e-11 0.0082
8.2972e-11 0.0031
1.7932e-10 0.0020
8.3388e-11 0.0031
1.0784e-11 0.0083
6.9434e-14 0.0757
3.7480e-15 0.2794
3.0626e-15 0.3158
1.9866e-13 0.0486
2.1816e-11 0.0059
1.7907e-10 0.0020
5.3331e-10 0.0009
1.7875e-10 0.0020
2.1901e-11 0.0059
2.0684e-13 0.0481
2.2323e-15 0.2600
2.0866e-15 0.2224
5.2862e-14 0.0840
1.0884e-11 0.0082
8.3101e-11 0.0031
1.7875e-10 0.0020
8.3462e-11 0.0031
1.0738e-11 0.0082
6.9015e-14 0.0789
2.5458e-15 0.3845
2.7919e-15 0.2141
5.1521e-15 0.1928
7.3848e-13 0.0274
1.0635e-11 0.0083
2.1683e-11 0.0060
1.0906e-11 0.0082
7.8911e-13 0.0267
4.6729e-15 0.1864
3.7984e-15 0.2872
8.1757e-16 0.2664
2.7463e-15 0.2910
3.1538e-15 0.2994
6.5345e-14 0.0818
2.1374e-13 0.0473
7.0687e-14 0.0774
