     9      9     21
d_kernel   u_kernel

5.6737e-15 0.3272
3.2879e-14 0.1501
7.7426e-14 0.1031
8.2078e-14 0.0904
9.3294e-14 0.0890
9.0794e-14 0.0875
6.0421e-14 0.1195
2.7392e-14 0.1699
8.1514e-15 0.2830
3.2647e-14 0.1573
1.0035e-13 0.0940
1.6109e-13 0.0698
1.9828e-13 0.0629
1.9159e-13 0.0649
1.7083e-13 0.0661
1.3644e-13 0.0734
6.9756e-14 0.1038
2.7354e-14 0.1671
6.5683e-14 0.1112
1.4716e-13 0.0757
2.0525e-13 0.0610
2.4877e-13 0.0558
2.7955e-13 0.0542
2.4824e-13 0.0553
2.0623e-13 0.0645
1.4643e-13 0.0716
6.9847e-14 0.1063
8.9562e-14 0.0900
1.6854e-13 0.0672
2.2825e-13 0.0567
4.6385e-13 0.0413
1.0617e-12 0.0252
4.5764e-13 0.0404
2.7802e-13 0.0551
2.0108e-13 0.0642
9.8072e-14 0.0887
1.0804e-13 0.0851
2.2575e-13 0.0593
2.7985e-13 0.0543
1.1320e-12 0.0247
1.1502e-09 0.0002
1.0409e-12 0.0254
2.8004e-13 0.0516
1.7760e-13 0.0643
1.1574e-13 0.0803
1.0682e-13 0.0860
1.9280e-13 0.0628
2.4810e-13 0.0549
4.7528e-13 0.0401
1.0799e-12 0.0250
4.5853e-13 0.0410
2.6028e-13 0.0544
1.7381e-13 0.0641
9.1451e-14 0.0937
8.0049e-14 0.1050
1.4616e-13 0.0734
1.7746e-13 0.0643
2.5177e-13 0.0558
2.7761e-13 0.0528
2.4328e-13 0.0567
1.7695e-13 0.0678
1.3904e-13 0.0752
7.6025e-14 0.1036
2.3823e-14 0.1747
7.8242e-14 0.0984
1.4329e-13 0.0726
1.6952e-13 0.0672
1.8270e-13 0.0631
1.8263e-13 0.0670
1.3778e-13 0.0755
7.3365e-14 0.1033
2.0828e-14 0.1741
6.2687e-15 0.3536
3.9726e-14 0.1434
5.9332e-14 0.1097
8.1402e-14 0.1000
1.0411e-13 0.0843
9.9786e-14 0.0891
6.5365e-14 0.1097
3.1724e-14 0.1544
8.5932e-15 0.2904
1.0524e-14 0.2482
6.8922e-14 0.1082
1.1501e-13 0.0833
1.7304e-13 0.0676
1.7408e-13 0.0682
1.8121e-13 0.0653
1.2388e-13 0.0796
4.7431e-14 0.1304
1.1178e-14 0.2149
4.7881e-14 0.1269
1.6337e-13 0.0726
2.6411e-13 0.0557
3.0005e-13 0.0511
3.3662e-13 0.0479
3.4994e-13 0.0477
2.6677e-13 0.0556
1.3857e-13 0.0771
4.9525e-14 0.1209
1.0341e-13 0.0886
2.6780e-13 0.0559
3.8039e-13 0.0449
4.8361e-13 0.0399
5.2410e-13 0.0388
4.9481e-13 0.0406
3.6109e-13 0.0462
2.6162e-13 0.0548
1.0957e-13 0.0850
1.7583e-13 0.0690
3.3126e-13 0.0487
4.5905e-13 0.0414
1.2503e-12 0.0253
3.9527e-12 0.0132
1.2592e-12 0.0252
4.8599e-13 0.0402
3.1583e-13 0.0494
1.7472e-13 0.0675
1.8818e-13 0.0680
3.6415e-13 0.0468
5.5628e-13 0.0379
4.0118e-12 0.0131
1.2145e-09 0.0002
3.9792e-12 0.0130
5.9965e-13 0.0365
3.3854e-13 0.0480
1.9559e-13 0.0624
1.6975e-13 0.0694
3.4319e-13 0.0479
5.1358e-13 0.0388
1.2547e-12 0.0249
3.9644e-12 0.0131
1.2806e-12 0.0244
4.9586e-13 0.0407
3.2034e-13 0.0501
1.5732e-13 0.0704
1.2287e-13 0.0816
2.5142e-13 0.0549
3.6413e-13 0.0472
4.6374e-13 0.0405
5.6814e-13 0.0376
4.7180e-13 0.0418
3.6812e-13 0.0471
2.7104e-13 0.0543
1.3163e-13 0.0763
5.7978e-14 0.1162
1.3735e-13 0.0746
2.4696e-13 0.0571
3.3838e-13 0.0486
3.4801e-13 0.0477
3.2705e-13 0.0488
2.5456e-13 0.0564
1.4317e-13 0.0741
3.9808e-14 0.1490
1.0422e-14 0.2481
5.2469e-14 0.1192
9.5267e-14 0.0879
1.6469e-13 0.0688
1.9746e-13 0.0633
1.8458e-13 0.0673
1.3247e-13 0.0783
5.3368e-14 0.1250
1.2348e-14 0.2486
1.9907e-14 0.1881
9.2425e-14 0.0950
1.9270e-13 0.0642
2.8127e-13 0.0530
2.9575e-13 0.0508
2.6828e-13 0.0543
2.0286e-13 0.0626
7.2896e-14 0.1032
1.9962e-14 0.1889
8.5721e-14 0.1000
2.5329e-13 0.0560
4.7227e-13 0.0413
5.6071e-13 0.0376
6.3070e-13 0.0354
6.2086e-13 0.0361
4.4727e-13 0.0424
2.3006e-13 0.0594
7.0834e-14 0.1090
1.7751e-13 0.0679
4.2246e-13 0.0437
7.1817e-13 0.0338
9.6528e-13 0.0290
1.1656e-12 0.0266
9.5806e-13 0.0291
6.8087e-13 0.0339
4.7273e-13 0.0424
1.9854e-13 0.0640
3.0449e-13 0.0531
5.6556e-13 0.0378
9.4316e-13 0.0292
3.1379e-12 0.0158
1.1552e-11 0.0074
3.0437e-12 0.0160
9.8115e-13 0.0286
5.7393e-13 0.0370
2.8740e-13 0.0536
3.3019e-13 0.0496
6.2221e-13 0.0364
1.2057e-12 0.0258
1.1532e-11 0.0074
1.2308e-09 0.0002
1.1667e-11 0.0075
1.2176e-12 0.0258
6.6118e-13 0.0352
3.2787e-13 0.0499
2.5643e-13 0.0538
6.0213e-13 0.0369
9.8112e-13 0.0290
3.1772e-12 0.0157
1.1461e-11 0.0075
3.1352e-12 0.0156
9.8311e-13 0.0291
5.8359e-13 0.0367
2.8454e-13 0.0525
1.8392e-13 0.0663
4.6253e-13 0.0421
6.9246e-13 0.0343
9.5391e-13 0.0290
1.2314e-12 0.0259
9.5753e-13 0.0292
6.8703e-13 0.0342
4.5477e-13 0.0419
2.0117e-13 0.0623
8.9283e-14 0.0961
2.7061e-13 0.0549
4.3414e-13 0.0427
5.6729e-13 0.0375
6.5797e-13 0.0351
5.9748e-13 0.0364
4.6074e-13 0.0420
2.5378e-13 0.0570
6.6487e-14 0.1070
2.3995e-14 0.2008
7.7815e-14 0.1007
1.7543e-13 0.0677
2.9176e-13 0.0521
3.1583e-13 0.0507
2.7755e-13 0.0530
1.9496e-13 0.0640
8.0960e-14 0.1000
1.9449e-14 0.2076
2.1447e-14 0.1699
1.0661e-13 0.0857
2.9891e-13 0.0525
4.4924e-13 0.0428
5.1526e-13 0.0401
4.4814e-13 0.0428
3.0479e-13 0.0534
1.0235e-13 0.0862
1.8689e-14 0.1999
1.1237e-13 0.0825
4.0367e-13 0.0460
7.5823e-13 0.0325
1.0158e-12 0.0283
1.1431e-12 0.0267
1.0670e-12 0.0274
7.7161e-13 0.0325
3.8048e-13 0.0467
1.0660e-13 0.0838
2.8133e-13 0.0537
7.2238e-13 0.0337
1.2654e-12 0.0255
1.8878e-12 0.0210
2.4561e-12 0.0181
1.9028e-12 0.0209
1.2523e-12 0.0256
7.7925e-13 0.0321
3.0590e-13 0.0520
4.4289e-13 0.0434
1.0062e-12 0.0283
1.9110e-12 0.0209
7.8862e-12 0.0096
3.5672e-11 0.0040
7.8527e-12 0.0097
1.9318e-12 0.0208
1.0438e-12 0.0282
4.5031e-13 0.0426
4.8696e-13 0.0404
1.0529e-12 0.0274
2.3613e-12 0.0183
3.5772e-11 0.0040
1.1648e-09 0.0003
3.5894e-11 0.0040
2.5028e-12 0.0181
1.1368e-12 0.0266
5.0274e-13 0.0408
4.6788e-13 0.0424
1.0194e-12 0.0280
1.8833e-12 0.0208
7.8963e-12 0.0096
3.5570e-11 0.0040
7.8144e-12 0.0096
1.9089e-12 0.0206
1.0650e-12 0.0276
4.7787e-13 0.0428
2.5738e-13 0.0541
7.4338e-13 0.0331
1.2729e-12 0.0251
1.9414e-12 0.0206
2.4002e-12 0.0183
1.9226e-12 0.0208
1.2520e-12 0.0251
7.4990e-13 0.0324
2.8633e-13 0.0545
1.1035e-13 0.0871
3.9253e-13 0.0464
7.6928e-13 0.0328
1.0240e-12 0.0280
1.1578e-12 0.0267
1.0176e-12 0.0284
7.7060e-13 0.0325
3.9289e-13 0.0448
1.0753e-13 0.0836
2.4457e-14 0.1721
9.5891e-14 0.0872
2.6600e-13 0.0558
4.4739e-13 0.0429
4.8746e-13 0.0411
4.5311e-13 0.0433
2.8869e-13 0.0542
1.2320e-13 0.0808
1.6505e-14 0.2037
2.5762e-14 0.1536
1.3088e-13 0.0778
3.9558e-13 0.0460
7.3701e-13 0.0337
8.4412e-13 0.0313
7.1800e-13 0.0344
4.1404e-13 0.0435
1.5859e-13 0.0728
2.2531e-14 0.1680
1.5053e-13 0.0719
5.8234e-13 0.0376
1.2483e-12 0.0259
1.8674e-12 0.0210
2.0074e-12 0.0202
1.8604e-12 0.0211
1.2659e-12 0.0258
5.9989e-13 0.0373
1.5817e-13 0.0707
4.0745e-13 0.0442
1.2836e-12 0.0255
2.3561e-12 0.0188
3.9112e-12 0.0146
5.2377e-12 0.0123
3.8896e-12 0.0147
2.2817e-12 0.0192
1.2596e-12 0.0254
4.2187e-13 0.0436
6.5047e-13 0.0353
1.7373e-12 0.0216
3.8372e-12 0.0147
1.9688e-11 0.0059
8.3182e-11 0.0026
1.9685e-11 0.0060
3.8551e-12 0.0147
1.7672e-12 0.0213
6.8728e-13 0.0346
7.9467e-13 0.0322
1.9699e-12 0.0204
5.0993e-12 0.0125
8.3742e-11 0.0026
9.6676e-10 0.0004
8.3475e-11 0.0026
5.1409e-12 0.0125
2.0349e-12 0.0202
8.2550e-13 0.0315
6.7099e-13 0.0349
1.8203e-12 0.0214
3.8578e-12 0.0145
1.9496e-11 0.0060
