     9      9     21
d_kernel   u_kernel

3.9174e-15 0.4167
2.2121e-14 0.1942
6.3139e-14 0.1162
1.0309e-13 0.0886
1.1111e-13 0.0840
1.0310e-13 0.0839
6.4684e-14 0.1124
1.7624e-14 0.1995
8.5685e-16 0.2307
2.3807e-14 0.1722
7.3209e-14 0.1051
1.6889e-13 0.0684
1.9872e-13 0.0620
2.2411e-13 0.0590
2.0123e-13 0.0618
1.5812e-13 0.0713
8.5353e-14 0.0999
1.7009e-14 0.1985
5.8511e-14 0.1203
1.5485e-13 0.0713
2.3244e-13 0.0567
3.0540e-13 0.0496
3.0575e-13 0.0493
2.7575e-13 0.0535
2.1250e-13 0.0592
1.4572e-13 0.0718
5.9036e-14 0.1138
9.3958e-14 0.0916
2.1528e-13 0.0600
2.6542e-13 0.0539
4.8904e-13 0.0392
1.1341e-12 0.0243
4.7594e-13 0.0400
2.7680e-13 0.0533
2.0226e-13 0.0630
9.2707e-14 0.0927
9.0419e-14 0.0891
2.2714e-13 0.0571
3.1622e-13 0.0501
1.0730e-12 0.0251
1.1501e-09 0.0002
1.1746e-12 0.0239
3.1909e-13 0.0488
2.2075e-13 0.0603
9.4852e-14 0.0908
9.6673e-14 0.0932
1.9518e-13 0.0627
2.7287e-13 0.0521
4.6847e-13 0.0406
1.1456e-12 0.0245
4.7830e-13 0.0403
2.8561e-13 0.0540
2.0983e-13 0.0619
9.1332e-14 0.0916
4.0982e-14 0.1295
1.6175e-13 0.0686
2.3965e-13 0.0573
2.7249e-13 0.0527
3.2517e-13 0.0490
2.9342e-13 0.0520
2.3071e-13 0.0578
1.5181e-13 0.0701
6.3104e-14 0.1103
2.1495e-14 0.1885
8.4343e-14 0.0945
1.5926e-13 0.0713
1.9678e-13 0.0621
2.1378e-13 0.0589
2.0003e-13 0.0619
1.3867e-13 0.0753
7.9861e-14 0.0968
2.0775e-14 0.1896
4.7382e-15 0.3269
2.2669e-14 0.1825
4.9120e-14 0.1208
1.0348e-13 0.0878
1.0559e-13 0.0845
8.0973e-14 0.1016
4.2029e-14 0.1308
1.9369e-14 0.1883
2.4697e-15 0.3775
7.5562e-15 0.3116
3.3514e-14 0.1485
1.1602e-13 0.0822
1.6859e-13 0.0683
1.9130e-13 0.0648
1.7322e-13 0.0661
1.0708e-13 0.0883
4.2935e-14 0.1392
6.6643e-15 0.2795
3.9852e-14 0.1391
1.2284e-13 0.0820
3.0870e-13 0.0513
3.9646e-13 0.0456
4.3946e-13 0.0425
3.9776e-13 0.0449
2.5961e-13 0.0539
1.4867e-13 0.0747
3.5874e-14 0.1452
1.0940e-13 0.0863
2.7440e-13 0.0527
4.5896e-13 0.0417
5.6963e-13 0.0370
6.8009e-13 0.0343
5.4731e-13 0.0378
4.3053e-13 0.0439
2.6180e-13 0.0535
9.8461e-14 0.0887
1.7930e-13 0.0662
4.0847e-13 0.0445
5.6806e-13 0.0372
1.3489e-12 0.0239
4.2300e-12 0.0127
1.3174e-12 0.0244
5.9518e-13 0.0369
3.9459e-13 0.0449
1.6426e-13 0.0703
2.0413e-13 0.0631
4.5100e-13 0.0419
6.8672e-13 0.0344
4.1204e-12 0.0128
1.2172e-09 0.0002
4.2725e-12 0.0127
6.4193e-13 0.0354
3.9637e-13 0.0442
1.8613e-13 0.0653
1.6895e-13 0.0707
3.7106e-13 0.0469
5.4825e-13 0.0383
1.3434e-12 0.0241
4.2748e-12 0.0126
1.3479e-12 0.0243
5.8544e-13 0.0369
3.7960e-13 0.0460
1.7474e-13 0.0677
1.0390e-13 0.0879
2.6578e-13 0.0534
4.2973e-13 0.0431
6.3786e-13 0.0361
6.6720e-13 0.0341
5.8336e-13 0.0371
4.4722e-13 0.0421
2.7114e-13 0.0543
1.1835e-13 0.0824
3.6307e-14 0.1438
1.2603e-13 0.0778
2.9722e-13 0.0515
4.1872e-13 0.0443
4.6358e-13 0.0422
3.5489e-13 0.0459
2.7657e-13 0.0548
1.2989e-13 0.0774
3.3479e-14 0.1445
6.2942e-15 0.3184
4.3189e-14 0.1406
9.7815e-14 0.0880
1.8803e-13 0.0647
2.0042e-13 0.0644
1.7240e-13 0.0687
1.0194e-13 0.0913
3.8990e-14 0.1423
7.2863e-15 0.2956
8.9979e-15 0.3035
6.0609e-14 0.1112
1.9308e-13 0.0661
3.0072e-13 0.0528
3.4893e-13 0.0478
3.0142e-13 0.0527
1.7514e-13 0.0693
5.0095e-14 0.1169
7.2223e-15 0.2605
5.6436e-14 0.1150
2.2437e-13 0.0599
5.0770e-13 0.0399
7.2869e-13 0.0336
7.4511e-13 0.0326
7.0769e-13 0.0338
4.9180e-13 0.0404
2.4707e-13 0.0574
5.1973e-14 0.1233
1.5860e-13 0.0704
5.0578e-13 0.0398
8.1596e-13 0.0313
1.1978e-12 0.0261
1.4043e-12 0.0240
1.1410e-12 0.0269
8.2596e-13 0.0316
4.8503e-13 0.0405
1.5727e-13 0.0702
3.1011e-13 0.0510
7.6208e-13 0.0331
1.1961e-12 0.0263
3.5529e-12 0.0148
1.2997e-11 0.0070
3.5198e-12 0.0149
1.1327e-12 0.0267
6.9341e-13 0.0342
2.7549e-13 0.0546
3.1571e-13 0.0503
7.6248e-13 0.0329
1.3766e-12 0.0240
1.2772e-11 0.0070
1.2329e-09 0.0002
1.2978e-11 0.0070
1.3679e-12 0.0242
7.4867e-13 0.0327
3.2900e-13 0.0506
2.6974e-13 0.0541
6.4773e-13 0.0351
1.1257e-12 0.0269
3.4480e-12 0.0149
1.3158e-11 0.0070
3.5362e-12 0.0149
1.1719e-12 0.0264
6.9758e-13 0.0341
2.7817e-13 0.0537
1.8771e-13 0.0670
4.9003e-13 0.0413
7.8001e-13 0.0320
1.1524e-12 0.0263
1.4148e-12 0.0242
1.1273e-12 0.0266
8.1691e-13 0.0315
5.2981e-13 0.0393
2.0572e-13 0.0632
5.2939e-14 0.1189
2.2609e-13 0.0596
5.3422e-13 0.0389
7.2277e-13 0.0335
7.8611e-13 0.0320
6.7229e-13 0.0346
5.3017e-13 0.0397
2.5196e-13 0.0572
7.4670e-14 0.1080
7.3357e-15 0.2773
6.1205e-14 0.1054
1.6942e-13 0.0695
3.0232e-13 0.0511
3.2729e-13 0.0490
2.9807e-13 0.0532
1.6440e-13 0.0692
6.5437e-14 0.1111
7.2310e-15 0.2672
9.5697e-15 0.2591
7.5964e-14 0.0987
2.5589e-13 0.0558
4.7638e-13 0.0416
5.4991e-13 0.0380
4.4160e-13 0.0430
2.5429e-13 0.0563
8.9238e-14 0.0990
9.3904e-15 0.2654
7.5534e-14 0.1020
3.6930e-13 0.0458
8.5638e-13 0.0309
1.2744e-12 0.0253
1.4028e-12 0.0243
1.2098e-12 0.0261
8.1985e-13 0.0314
3.5187e-13 0.0492
8.0620e-14 0.0986
2.3444e-13 0.0578
8.7249e-13 0.0307
1.5328e-12 0.0228
2.4090e-12 0.0186
3.0324e-12 0.0165
2.3407e-12 0.0188
1.5428e-12 0.0230
8.2416e-13 0.0314
2.5957e-13 0.0564
4.8197e-13 0.0411
1.2188e-12 0.0259
2.3759e-12 0.0186
9.2297e-12 0.0090
4.1098e-11 0.0037
9.1482e-12 0.0090
2.2816e-12 0.0190
1.2097e-12 0.0261
4.7271e-13 0.0423
5.5506e-13 0.0388
1.3589e-12 0.0246
2.8882e-12 0.0166
4.1021e-11 0.0037
1.1523e-09 0.0003
4.1082e-11 0.0037
2.9696e-12 0.0165
1.3922e-12 0.0244
5.4252e-13 0.0386
4.3218e-13 0.0435
1.2251e-12 0.0261
2.3065e-12 0.0188
9.2829e-12 0.0090
4.1470e-11 0.0037
9.2618e-12 0.0089
2.3558e-12 0.0189
1.2075e-12 0.0258
4.4231e-13 0.0435
2.4825e-13 0.0576
8.4565e-13 0.0312
1.5064e-12 0.0233
2.3396e-12 0.0186
3.0244e-12 0.0164
2.3968e-12 0.0187
1.5162e-12 0.0232
8.9748e-13 0.0303
2.5335e-13 0.0563
9.1207e-14 0.0946
3.5502e-13 0.0475
8.8664e-13 0.0307
1.2929e-12 0.0253
1.3594e-12 0.0247
1.2356e-12 0.0259
8.8739e-13 0.0306
3.6467e-13 0.0471
7.6713e-14 0.0953
1.2426e-14 0.2504
8.5059e-14 0.0960
2.5959e-13 0.0568
4.6569e-13 0.0408
5.2500e-13 0.0397
4.0215e-13 0.0446
2.4263e-13 0.0563
9.1221e-14 0.0933
9.7385e-15 0.2434
1.1927e-14 0.2208
1.0443e-13 0.0849
3.4795e-13 0.0463
7.0901e-13 0.0343
7.8925e-13 0.0317
6.4993e-13 0.0348
3.4944e-13 0.0477
1.0878e-13 0.0844
1.5839e-14 0.2197
1.0174e-13 0.0844
5.6454e-13 0.0384
1.4017e-12 0.0244
