     9      9     21
d_kernel   u_kernel

1.4197e-15 0.2933
7.7448e-16 0.2723
1.2911e-15 0.2524
2.0632e-15 0.3378
5.2055e-15 0.3021
3.1229e-15 0.2938
7.6678e-16 0.3443
7.5034e-16 0.3066
7.7785e-16 0.3931
4.4820e-16 0.3827
1.7945e-15 0.3899
2.7129e-14 0.1430
1.7295e-13 0.0654
2.6071e-13 0.0534
1.6860e-13 0.0646
3.1072e-14 0.1372
1.2219e-15 0.2927
9.9805e-16 0.2664
6.9198e-16 0.2699
2.4484e-14 0.1513
4.1524e-13 0.0425
1.1169e-12 0.0268
1.3142e-12 0.0241
1.0475e-12 0.0271
4.2159e-13 0.0422
2.2403e-14 0.1693
1.2640e-15 0.3589
2.0237e-15 0.3779
1.6009e-13 0.0664
1.0622e-12 0.0270
1.7545e-12 0.0208
2.6908e-12 0.0165
1.7831e-12 0.0204
1.0818e-12 0.0268
1.7629e-13 0.0629
4.1745e-15 0.3474
3.8238e-15 0.2480
2.6881e-13 0.0525
1.3240e-12 0.0242
2.6791e-12 0.0165
1.1649e-09 0.0002
2.6279e-12 0.0164
1.3058e-12 0.0246
2.6250e-13 0.0532
4.3752e-15 0.2533
3.0706e-15 0.3001
1.6386e-13 0.0664
1.0300e-12 0.0270
1.8188e-12 0.0207
2.6157e-12 0.0165
1.8842e-12 0.0204
1.0997e-12 0.0270
1.5539e-13 0.0669
1.7261e-15 0.2969
2.0456e-15 0.2963
3.7613e-14 0.1390
4.2082e-13 0.0437
1.0701e-12 0.0268
1.3045e-12 0.0244
1.1108e-12 0.0263
4.1723e-13 0.0431
2.8462e-14 0.1395
1.3041e-15 0.3546
4.1623e-16 0.3362
1.7126e-15 0.2368
2.5183e-14 0.1526
1.5482e-13 0.0666
2.5125e-13 0.0547
1.6425e-13 0.0659
3.0513e-14 0.1392
1.7852e-15 0.2723
9.2465e-16 0.2883
2.4235e-16 0.4058
1.1616e-15 0.4438
9.7893e-16 0.2820
9.6072e-16 0.2470
3.7918e-15 0.2950
4.2475e-15 0.3184
1.2788e-15 0.3996
6.8198e-16 0.3249
0.0000e+00 1.0000
5.5186e-16 0.2485
1.6439e-15 0.2167
1.2331e-15 0.2429
4.2972e-15 0.3163
4.8270e-15 0.2497
5.0947e-15 0.2965
1.2191e-15 0.3459
1.1980e-15 0.4134
0.0000e+00 1.0000
1.0435e-15 0.2787
2.8704e-15 0.2459
6.8956e-14 0.0985
3.6775e-13 0.0436
6.0319e-13 0.0349
3.6169e-13 0.0442
7.0005e-14 0.0948
1.9496e-15 0.3247
1.2846e-15 0.3053
2.6670e-15 0.4005
6.4233e-14 0.1033
8.9754e-13 0.0294
2.5847e-12 0.0175
3.3150e-12 0.0154
2.6024e-12 0.0177
9.0706e-13 0.0292
4.8782e-14 0.1025
1.3137e-15 0.2942
2.7658e-15 0.3771
3.3961e-13 0.0457
2.5701e-12 0.0177
5.5252e-12 0.0121
1.1136e-11 0.0080
5.3984e-12 0.0122
2.5745e-12 0.0178
3.6697e-13 0.0444
3.3749e-15 0.3205
3.7933e-15 0.2629
6.0127e-13 0.0354
3.3140e-12 0.0156
1.1290e-11 0.0080
1.2619e-09 0.0002
1.1162e-11 0.0080
3.3113e-12 0.0157
5.7065e-13 0.0357
7.0158e-15 0.2405
2.8467e-15 0.3037
3.6395e-13 0.0455
2.6487e-12 0.0175
5.2956e-12 0.0123
1.1139e-11 0.0080
5.4546e-12 0.0121
2.6240e-12 0.0177
3.2903e-13 0.0467
2.5054e-15 0.3145
1.0078e-15 0.2257
6.5303e-14 0.1018
9.2225e-13 0.0296
2.5434e-12 0.0177
3.3018e-12 0.0157
2.6036e-12 0.0177
8.6767e-13 0.0300
5.0623e-14 0.1077
1.7217e-15 0.3797
1.1358e-15 0.2938
1.8730e-15 0.3593
5.6212e-14 0.1035
3.5673e-13 0.0449
5.9006e-13 0.0358
3.3296e-13 0.0459
5.2971e-14 0.1062
0.0000e+00 1.0000
1.4499e-15 0.3689
4.3140e-16 0.4119
8.2316e-16 0.2989
2.0687e-15 0.3499
3.6477e-15 0.3606
7.2025e-15 0.2164
1.6690e-15 0.2225
1.3049e-15 0.3485
7.2139e-16 0.2814
4.0275e-16 0.3877
0.0000e+00 1.0000
2.0129e-15 0.3442
1.7040e-15 0.3447
2.5211e-15 0.3018
6.0120e-15 0.2538
5.1614e-15 0.2531
1.1314e-15 0.2660
1.0995e-15 0.3353
8.8126e-16 0.3119
1.5449e-15 0.2292
1.8872e-15 0.2374
8.1814e-14 0.0853
6.2145e-13 0.0335
1.0084e-12 0.0266
6.2902e-13 0.0333
9.2985e-14 0.0794
1.9908e-15 0.3810
1.8537e-15 0.3070
2.0036e-15 0.2504
9.2217e-14 0.0804
1.7156e-12 0.0213
5.6961e-12 0.0121
7.7370e-12 0.0103
5.6115e-12 0.0123
1.6871e-12 0.0217
8.4003e-14 0.0822
1.2045e-15 0.2398
3.5988e-15 0.3389
6.1062e-13 0.0337
5.6690e-12 0.0122
1.6867e-11 0.0070
4.8223e-11 0.0037
1.6786e-11 0.0070
5.7606e-12 0.0121
6.1448e-13 0.0341
2.9723e-15 0.3197
9.0635e-15 0.2041
1.0094e-12 0.0268
7.6995e-12 0.0104
4.8132e-11 0.0037
1.2191e-09 0.0003
4.7898e-11 0.0037
7.5829e-12 0.0104
1.0306e-12 0.0267
3.7226e-15 0.2453
3.4130e-15 0.2520
5.8971e-13 0.0348
5.7293e-12 0.0121
1.6711e-11 0.0070
4.7801e-11 0.0037
1.6822e-11 0.0070
5.6277e-12 0.0122
6.0422e-13 0.0336
5.4012e-15 0.2794
1.4630e-15 0.2514
8.5836e-14 0.0826
1.6786e-12 0.0218
5.6148e-12 0.0122
7.9312e-12 0.0103
5.5628e-12 0.0123
1.6743e-12 0.0217
8.2454e-14 0.0845
2.2482e-15 0.2617
5.3306e-16 0.3084
1.7097e-15 0.2800
7.3533e-14 0.0909
5.9742e-13 0.0343
1.0410e-12 0.0264
5.9517e-13 0.0343
8.0913e-14 0.0869
1.7046e-15 0.2753
1.0114e-15 0.2931
7.3020e-16 0.2734
7.1231e-16 0.2797
1.1396e-15 0.3189
3.5851e-15 0.2776
6.8062e-15 0.2542
3.7323e-15 0.2473
2.1609e-15 0.3615
2.7422e-16 0.2964
7.8538e-16 0.2860
9.2044e-16 0.3281
9.7038e-16 0.2986
1.3377e-15 0.2131
3.0805e-15 0.2348
5.4985e-15 0.2360
1.9495e-15 0.2687
1.3016e-15 0.2391
9.1421e-16 0.2491
1.1576e-15 0.3766
1.5651e-15 0.2442
3.1621e-15 0.2193
9.3477e-14 0.0761
8.3593e-13 0.0284
1.5116e-12 0.0215
8.6856e-13 0.0281
9.8089e-14 0.0777
3.9985e-15 0.3095
1.3918e-15 0.3018
2.7975e-15 0.2736
1.0143e-13 0.0726
2.7688e-12 0.0169
1.0532e-11 0.0090
1.5854e-11 0.0073
1.0636e-11 0.0089
2.6830e-12 0.0171
9.6410e-14 0.0767
1.4098e-15 0.3224
4.4041e-15 0.2541
8.2949e-13 0.0289
1.0525e-11 0.0090
4.3211e-11 0.0043
1.2048e-10 0.0023
4.2878e-11 0.0044
1.0783e-11 0.0089
8.3403e-13 0.0281
2.9050e-15 0.3101
7.3645e-15 0.2050
1.5098e-12 0.0218
1.5682e-11 0.0073
1.2048e-10 0.0023
9.4006e-10 0.0005
1.2019e-10 0.0023
1.5809e-11 0.0073
1.5221e-12 0.0215
6.7381e-15 0.2092
3.2990e-15 0.2028
8.3945e-13 0.0285
1.0637e-11 0.0089
4.2577e-11 0.0044
1.2004e-10 0.0023
4.2798e-11 0.0044
1.0667e-11 0.0090
8.1380e-13 0.0286
3.0403e-15 0.3398
1.4909e-15 0.2731
9.5196e-14 0.0769
2.6870e-12 0.0170
1.0392e-11 0.0091
1.5716e-11 0.0074
1.0354e-11 0.0090
2.6595e-12 0.0171
8.8525e-14 0.0772
2.4076e-15 0.3294
7.4746e-16 0.3049
2.0500e-15 0.2078
9.1361e-14 0.0789
8.0084e-13 0.0292
1.4781e-12 0.0218
7.9043e-13 0.0294
9.8181e-14 0.0741
2.5956e-15 0.3005
1.6348e-15 0.2505
7.9598e-16 0.2938
1.8989e-15 0.3172
2.5403e-15 0.4305
5.8944e-15 0.2613
7.2679e-15 0.2026
2.9992e-15 0.2347
2.3217e-15 0.2528
2.0967e-15 0.2946
9.4677e-16 0.4642
8.6525e-16 0.2469
2.2646e-15 0.3326
2.8860e-15 0.2281
1.9773e-15 0.2975
3.2021e-15 0.2931
4.1493e-15 0.3305
2.6970e-15 0.2902
1.9108e-15 0.3027
1.5659e-15 0.3815
1.3071e-15 0.2939
2.3883e-15 0.2801
7.1112e-14 0.0824
8.4573e-13 0.0271
1.6523e-12 0.0202
8.4096e-13 0.0272
7.7321e-14 0.0827
2.6086e-15 0.3067
9.7423e-16 0.2711
1.3406e-15 0.2159
7.3753e-14 0.0833
3.2036e-12 0.0153
1.5812e-11 0.0073
2.4982e-11 0.0058
1.5824e-11 0.0073
3.1924e-12 0.0152
6.6530e-14 0.0854
3.3939e-15 0.3127
2.3175e-15 0.2706
8.0275e-13 0.0279
1.5835e-11 0.0073
7.3116e-11 0.0033
1.6600e-10 0.0020
7.2951e-11 0.0033
1.5731e-11 0.0073
8.7002e-13 0.0272
4.1301e-15 0.2270
4.4779e-15 0.2240
1.6317e-12 0.0203
2.5278e-11 0.0058
1.6626e-10 0.0020
6.1763e-10 0.0007
1.6613e-10 0.0020
2.5326e-11 0.0058
1.6864e-12 0.0199
5.2807e-15 0.3049
3.3960e-15 0.2154
8.5370e-13 0.0271
1.5969e-11 0.0072
7.2551e-11 0.0033
1.6580e-10 0.0020
7.2996e-11 0.0033
1.5808e-11 0.0073
8.5388e-13 0.0271
2.5539e-15 0.2979
2.1104e-15 0.2066
7.0728e-14 0.0851
3.1811e-12 0.0152
1.5633e-11 0.0073
2.4994e-11 0.0058
1.5904e-11 0.0073
3.2394e-12 0.0152
6.7264e-14 0.0848
2.3796e-15 0.2509
1.8840e-15 0.2503
2.2299e-15 0.2167
7.1581e-14 0.0827
8.1223e-13 0.0280
1.6695e-12 0.0201
8.0744e-13 0.0278
6.7085e-14 0.0858
2.5709e-15 0.3119
3.5609e-15 0.3264
9.7971e-16 0.3547
3.0031e-15 0.2666
1.9523e-15 0.2782
3.4246e-15 0.2441
7.1046e-15 0.2004
3.1219e-15 0.2451
2.9251e-15 0.3023
1.8233e-15 0.4948
7.8439e-16 0.3604
0.0000e+00 1.0000
2.7094e-15 0.2506
4.4252e-15 0.2914
2.1061e-15 0.2680
