     9      9     20
d_kernel   u_kernel

0.0000e+00 1.0000
0.0000e+00 1.0000
2.2231e-16 0.4265
6.3130e-16 0.3432
9.0626e-16 0.2825
0.0000e+00 1.0000
4.2236e-15 0.3545
4.1043e-15 0.4261
2.9975e-15 0.4101
7.0953e-16 0.4393
0.0000e+00 1.0000
4.8063e-16 0.3194
0.0000e+00 1.0000
8.2250e-15 0.2677
2.2137e-14 0.1833
3.1595e-14 0.1463
4.6784e-14 0.1285
2.9981e-14 0.1501
4.0351e-16 0.3451
2.2494e-16 0.4229
3.3255e-15 0.4641
1.1717e-14 0.2470
4.4454e-14 0.1284
1.0103e-13 0.0848
1.7269e-13 0.0679
1.9558e-13 0.0646
1.9021e-13 0.0673
6.2624e-16 0.3358
1.0528e-15 0.2515
4.6727e-15 0.3620
6.0179e-14 0.1163
1.7318e-13 0.0690
2.5989e-13 0.0540
3.7697e-13 0.0452
3.6622e-13 0.0467
3.7185e-13 0.0467
8.1742e-16 0.4429
3.7226e-15 0.4539
1.7037e-14 0.2112
1.0472e-13 0.0857
2.5667e-13 0.0549
3.9358e-13 0.0457
5.2143e-13 0.0392
5.7500e-13 0.0366
5.2411e-13 0.0392
4.1277e-16 0.4750
1.9233e-15 0.3966
3.2711e-14 0.1541
2.0306e-13 0.0651
3.4880e-13 0.0477
5.2226e-13 0.0391
1.3610e-12 0.0242
4.1760e-12 0.0129
1.2677e-12 0.0250
1.0662e-15 0.3169
5.7355e-15 0.3224
4.1047e-14 0.1273
2.0402e-13 0.0627
3.6438e-13 0.0455
5.8832e-13 0.0369
4.1306e-12 0.0129
1.2156e-09 0.0002
4.1826e-12 0.0129
6.3607e-16 0.4292
2.7361e-15 0.3270
4.3940e-14 0.1315
1.8229e-13 0.0674
3.4486e-13 0.0477
5.4703e-13 0.0385
1.2898e-12 0.0247
4.0387e-12 0.0130
1.2737e-12 0.0247
7.3319e-16 0.3038
1.2787e-15 0.3775
2.5199e-14 0.1727
1.0048e-13 0.0890
2.7152e-13 0.0538
3.9503e-13 0.0447
5.1393e-13 0.0396
5.7217e-13 0.0373
5.0642e-13 0.0396
3.8642e-16 0.4540
3.4456e-16 0.4361
7.8398e-16 0.2715
1.1954e-15 0.2706
1.1652e-15 0.3480
2.1338e-15 0.2868
4.1721e-15 0.3371
3.0695e-15 0.3858
