     9      9     20
d_kernel   u_kernel

0.0000e+00 1.0000
8.5104e-16 0.3015
3.1254e-16 0.4202
1.2075e-15 0.3031
1.6151e-15 0.3634
6.2946e-16 0.2888
7.7923e-16 0.3494
5.2929e-16 0.3137
4.0980e-16 0.3286
6.0245e-16 0.3783
8.2704e-16 0.2574
8.6654e-16 0.2552
1.7195e-15 0.2177
2.3351e-15 0.2532
1.1528e-15 0.2513
1.6513e-15 0.4340
7.4979e-16 0.4012
6.6223e-16 0.3491
6.3499e-16 0.3719
1.2304e-15 0.4513
2.3325e-15 0.2263
2.4924e-13 0.0448
1.0041e-12 0.0242
2.7637e-13 0.0434
2.6504e-15 0.2477
1.4513e-15 0.2535
7.0340e-16 0.3874
1.0984e-15 0.4394
1.4764e-15 0.3244
2.6023e-13 0.0446
7.0549e-12 0.0104
1.3282e-11 0.0076
7.1094e-12 0.0104
2.6396e-13 0.0446
1.0315e-15 0.2587
2.6819e-16 0.4316
8.0496e-16 0.2768
1.6686e-15 0.2610
1.0188e-12 0.0242
1.3214e-11 0.0076
1.2271e-09 0.0002
1.3146e-11 0.0075
1.0080e-12 0.0243
1.6635e-15 0.2378
9.7631e-16 0.3466
8.5169e-16 0.2749
1.6996e-15 0.4825
2.5116e-13 0.0446
7.1472e-12 0.0104
1.3310e-11 0.0075
7.1050e-12 0.0104
2.5296e-13 0.0454
1.3460e-15 0.2319
7.4932e-16 0.3080
7.3579e-16 0.3069
7.8579e-16 0.2679
3.2182e-15 0.2247
2.3642e-13 0.0460
1.0673e-12 0.0236
2.7590e-13 0.0427
3.7663e-15 0.3139
8.0902e-16 0.2713
6.6190e-16 0.3350
4.6082e-16 0.3393
1.1643e-15 0.4576
1.0816e-15 0.2865
1.8842e-15 0.2216
2.0358e-15 0.3286
2.0400e-15 0.2253
1.5264e-15 0.2744
8.2506e-16 0.2802
6.4753e-16 0.4900
6.8912e-16 0.4663
0.0000e+00 1.0000
6.3433e-16 0.2654
5.3532e-16 0.3259
0.0000e+00 1.0000
1.0070e-15 0.2776
6.0852e-16 0.2924
3.1860e-16 0.4499
3.9394e-16 0.3399
4.6328e-16 0.3646
6.6778e-16 0.3699
2.3125e-16 0.3520
7.4542e-16 0.2602
0.0000e+00 1.0000
1.3732e-15 0.2305
5.9394e-16 0.2562
2.6120e-16 0.3848
