     9      9     20
d_kernel   u_kernel

1.1301e-14 0.2434
3.2200e-14 0.1448
7.0249e-14 0.1042
1.0265e-13 0.0896
1.0585e-13 0.0875
8.8534e-14 0.0919
6.4207e-14 0.1028
3.9967e-14 0.1490
2.0316e-14 0.2049
3.3666e-14 0.1542
7.7207e-14 0.0970
1.3301e-13 0.0770
1.4403e-13 0.0742
1.5191e-13 0.0713
1.3758e-13 0.0729
1.3299e-13 0.0790
8.5550e-14 0.0967
3.6905e-14 0.1391
6.8639e-14 0.1037
1.3279e-13 0.0758
1.7011e-13 0.0687
2.1934e-13 0.0587
2.3386e-13 0.0581
2.3009e-13 0.0585
1.9182e-13 0.0630
1.3264e-13 0.0743
5.9684e-14 0.1129
9.4439e-14 0.0905
1.6747e-13 0.0665
2.4827e-13 0.0572
4.1306e-13 0.0422
1.0185e-12 0.0260
4.1699e-13 0.0425
2.1009e-13 0.0612
1.3679e-13 0.0733
8.4546e-14 0.0956
1.0937e-13 0.0834
1.7139e-13 0.0665
2.3106e-13 0.0590
1.0168e-12 0.0254
1.1502e-09 0.0002
1.0508e-12 0.0256
2.3259e-13 0.0581
1.6691e-13 0.0690
9.5709e-14 0.0870
8.7375e-14 0.0940
1.5072e-13 0.0703
2.1633e-13 0.0603
3.6745e-13 0.0453
1.0153e-12 0.0262
4.1192e-13 0.0435
2.1663e-13 0.0610
1.4569e-13 0.0722
1.0198e-13 0.0848
7.6009e-14 0.1025
1.2350e-13 0.0787
1.6857e-13 0.0680
2.2036e-13 0.0608
2.2211e-13 0.0594
2.1881e-13 0.0609
1.7196e-13 0.0676
1.3641e-13 0.0781
6.8851e-14 0.1093
3.5669e-14 0.1440
7.3723e-14 0.0970
1.2628e-13 0.0748
1.5283e-13 0.0702
1.6679e-13 0.0679
1.5244e-13 0.0697
1.3210e-13 0.0735
8.4017e-14 0.0921
3.3625e-14 0.1426
9.3646e-15 0.2831
2.8764e-14 0.1684
5.6276e-14 0.1161
8.9648e-14 0.0908
1.1475e-13 0.0826
1.0891e-13 0.0899
6.4251e-14 0.1070
3.6284e-14 0.1393
8.0550e-15 0.2757
1.8559e-14 0.2031
6.5625e-14 0.1150
1.2740e-13 0.0798
1.6749e-13 0.0675
1.7399e-13 0.0658
1.5533e-13 0.0702
1.3425e-13 0.0790
6.4683e-14 0.1082
1.6916e-14 0.2224
5.6990e-14 0.1141
1.4061e-13 0.0768
2.1291e-13 0.0602
2.8340e-13 0.0532
3.1362e-13 0.0504
2.7047e-13 0.0542
2.4747e-13 0.0562
1.4919e-13 0.0721
7.7496e-14 0.1036
1.1844e-13 0.0825
2.4655e-13 0.0590
3.1646e-13 0.0497
4.2637e-13 0.0437
4.8663e-13 0.0401
4.1283e-13 0.0444
3.2925e-13 0.0503
2.1256e-13 0.0587
1.0807e-13 0.0842
2.0141e-13 0.0651
